trial_number,solver,shrinkage,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
9,svd,unused,6,80,80,0.5111111111111111,0.0,0.6185770750988142,45
9,svd,unused,6,81,81,0.4888888888888889,0.0,0.8379446640316206,45
9,svd,unused,6,82,82,0.5555555555555556,0.6875,0.7470355731225297,45
9,svd,unused,6,83,83,0.5789473684210527,0.2727272727272727,0.8670360110803323,38
9,svd,unused,6,84,84,0.6590909090909091,0.6666666666666666,0.751552795031056,44
9,svd,unused,6,85,85,0.5454545454545454,0.6774193548387096,0.9585921325051759,44
9,svd,unused,6,86,86,0.7727272727272727,0.7368421052631579,0.8964803312629399,44
9,svd,unused,6,87,87,0.5333333333333333,0.6557377049180327,0.5592885375494071,45
9,svd,unused,6,88,88,0.5272727272727272,0.3157894736842105,0.6190476190476191,55
9,svd,unused,6,89,89,0.5777777777777777,0.6666666666666666,0.7162698412698413,45
9,svd,unused,6,90,90,0.4888888888888889,0.5106382978723404,0.5573122529644269,45
9,svd,unused,6,91,91,0.5,0.6666666666666666,0.7541322314049587,44
9,svd,unused,6,92,92,0.5714285714285714,0.3684210526315789,0.6897435897435897,56
9,svd,unused,6,93,93,0.8888888888888888,0.8888888888888888,0.9110671936758893,45
9,svd,unused,6,94,94,0.9772727272727273,0.9787234042553191,1.0,44
9,svd,unused,6,95,95,0.35714285714285715,0.5,0.5989583333333334,28
9,svd,unused,6,96,96,0.42857142857142855,0.6,0.5442176870748299,42
9,svd,unused,6,97,97,0.5,0.0,0.6053719008264463,44
9,svd,unused,6,98,98,0.4888888888888889,0.5964912280701754,0.5256916996047432,45
9,svd,unused,6,99,99,0.4883720930232558,0.3888888888888889,0.5735930735930737,43
9,svd,unused,6,100,100,0.5555555555555556,0.5555555555555556,0.5771604938271605,36
9,svd,unused,6,101,101,0.4888888888888889,0.0,0.624505928853755,45
9,svd,unused,6,102,102,0.6888888888888889,0.7586206896551724,0.8774703557312253,45
9,svd,unused,6,103,103,0.6511627906976745,0.6153846153846154,0.7965367965367964,43
9,svd,unused,6,104,104,0.5116279069767442,0.6440677966101694,0.4935064935064935,43
9,svd,unused,6,105,105,0.5555555555555556,0.23076923076923078,0.5889328063241107,45
9,svd,unused,6,106,106,0.6222222222222222,0.6382978723404256,0.6646825396825397,45
9,svd,unused,6,107,107,0.6,0.6666666666666666,0.6468253968253969,45
9,svd,unused,6,108,108,0.8666666666666667,0.85,0.8932806324110671,45
10,lsqr,0.5,6,1,1,0.6888888888888889,0.7407407407407407,0.8142292490118577,45
10,lsqr,0.5,6,2,2,0.6666666666666666,0.4827586206896552,0.8853754940711462,45
10,lsqr,0.5,6,3,3,0.5111111111111111,0.5217391304347826,0.4743083003952569,45
10,lsqr,0.5,6,4,4,0.4888888888888889,0.6567164179104478,0.7905138339920948,45
10,lsqr,0.5,6,5,5,0.4888888888888889,0.6349206349206349,0.42658730158730157,45
10,lsqr,0.5,6,6,6,0.5333333333333333,0.08695652173913043,0.496031746031746,45
10,lsqr,0.5,6,7,7,0.8666666666666667,0.88,0.9881422924901186,45
10,lsqr,0.5,6,8,8,0.6222222222222222,0.6046511627906976,0.6857707509881422,45
10,lsqr,0.5,6,9,9,0.5555555555555556,0.5833333333333334,0.5396825396825397,45
10,lsqr,0.5,6,10,10,0.5777777777777777,0.5128205128205128,0.6845238095238095,45
10,lsqr,0.5,6,11,11,0.5111111111111111,0.6666666666666666,0.4486166007905138,45
10,lsqr,0.5,6,12,12,0.5777777777777777,0.4864864864864865,0.6805555555555555,45
10,lsqr,0.5,6,13,13,0.7428571428571429,0.7692307692307693,0.8431372549019608,35
10,lsqr,0.5,6,14,14,0.6888888888888889,0.75,0.7845849802371541,45
10,lsqr,0.5,6,15,15,0.5333333333333333,0.676923076923077,0.9624505928853755,45
10,lsqr,0.5,6,16,16,0.6666666666666666,0.7272727272727273,0.741106719367589,45
10,lsqr,0.5,6,17,17,0.5238095238095238,0.0,0.5818181818181818,42
10,lsqr,0.5,6,18,18,0.4222222222222222,0.43478260869565216,0.41304347826086957,45
10,lsqr,0.5,6,19,19,0.6888888888888889,0.7586206896551724,0.8596837944664032,45
10,lsqr,0.5,6,20,20,0.5333333333333333,0.08695652173913043,0.5454545454545454,45
10,lsqr,0.5,6,21,21,0.5555555555555556,0.6296296296296297,0.7321428571428571,45
10,lsqr,0.5,6,22,22,0.5111111111111111,0.6764705882352942,0.7312252964426877,45
10,lsqr,0.5,6,23,23,0.6590909090909091,0.7368421052631579,0.878099173553719,44
10,lsqr,0.5,6,24,24,0.5555555555555556,0.42857142857142855,0.6103896103896104,18
10,lsqr,0.5,6,25,25,0.6,0.6785714285714286,0.7707509881422925,45
10,lsqr,0.5,6,26,26,0.7555555555555555,0.7659574468085106,0.7579365079365079,45
10,lsqr,0.5,6,27,27,0.4888888888888889,0.6461538461538462,0.5810276679841897,45
10,lsqr,0.5,6,28,28,0.5555555555555556,0.5,0.575098814229249,45
10,lsqr,0.5,6,29,29,0.8222222222222222,0.8461538461538461,1.0,45
10,lsqr,0.5,6,30,30,0.5333333333333333,0.08695652173913043,0.6408730158730159,45
10,lsqr,0.5,6,31,31,0.8444444444444444,0.8571428571428571,0.9703557312252964,45
