trial_number,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
17,entropy,8,7,10,balanced,6,30,30,0.5555555555555556,0.6,0.5793650793650794,45
17,entropy,8,7,10,balanced,6,31,31,0.7333333333333333,0.6842105263157895,0.7677865612648223,45
17,entropy,8,7,10,balanced,6,32,32,0.8409090909090909,0.8444444444444444,0.8695652173913043,44
17,entropy,8,7,10,balanced,6,33,33,0.7555555555555555,0.717948717948718,0.8547430830039526,45
17,entropy,8,7,10,balanced,6,34,34,0.5777777777777777,0.3448275862068966,0.6607142857142857,45
17,entropy,8,7,10,balanced,6,35,35,0.5555555555555556,0.23076923076923078,0.6215415019762845,45
17,entropy,8,7,10,balanced,6,36,36,0.4090909090909091,0.43478260869565216,0.4245867768595042,44
17,entropy,8,7,10,balanced,6,37,37,0.5111111111111111,0.0,0.5,45
17,entropy,8,7,10,balanced,6,38,38,0.4888888888888889,0.46511627906976744,0.5306324110671936,45
17,entropy,8,7,10,balanced,6,39,39,0.36363636363636365,0.4166666666666667,0.33126293995859213,44
17,entropy,8,7,10,balanced,6,40,40,0.4222222222222222,0.0,0.4861111111111111,45
17,entropy,8,7,10,balanced,6,41,41,0.5333333333333333,0.08695652173913043,0.5029761904761905,45
17,entropy,8,7,10,balanced,6,42,42,0.7333333333333333,0.7391304347826086,0.841897233201581,45
17,entropy,8,7,10,balanced,6,43,43,0.6222222222222222,0.45161290322580644,0.7164031620553359,45
17,entropy,8,7,10,balanced,6,44,44,0.6551724137931034,0.5833333333333334,0.6690476190476191,29
17,entropy,8,7,10,balanced,6,45,45,0.5555555555555556,0.16666666666666666,0.5592885375494071,45
17,entropy,8,7,10,balanced,6,46,46,0.4888888888888889,0.6349206349206349,0.4960474308300395,45
17,entropy,8,7,10,balanced,6,47,47,0.4666666666666667,0.6363636363636364,0.5,45
17,entropy,8,7,10,balanced,6,48,48,0.5294117647058824,0.5555555555555556,0.3928571428571429,17
17,entropy,8,7,10,balanced,6,49,49,0.7777777777777778,0.7368421052631579,0.7470355731225297,45
17,entropy,8,7,10,balanced,6,50,50,0.5111111111111111,0.0,0.5,45
17,entropy,8,7,10,balanced,6,51,51,0.4666666666666667,0.6363636363636364,0.5,45
17,entropy,8,7,10,balanced,6,52,52,0.6585365853658537,0.5333333333333333,0.729665071770335,41
17,entropy,8,7,10,balanced,6,53,53,0.627906976744186,0.5555555555555556,0.6103896103896105,43
17,entropy,8,7,10,balanced,6,54,54,0.717948717948718,0.6666666666666666,0.7146739130434783,39
17,entropy,8,7,10,balanced,6,55,55,0.4888888888888889,0.6567164179104478,0.5,45
17,entropy,8,7,10,balanced,6,56,56,0.5909090909090909,0.64,0.7107438016528925,44
17,entropy,8,7,10,balanced,6,57,57,0.7111111111111111,0.6829268292682927,0.7351190476190477,45
17,entropy,8,7,10,balanced,6,58,58,0.6,0.35714285714285715,0.5892857142857143,45
17,entropy,8,7,10,balanced,6,59,59,0.4444444444444444,0.358974358974359,0.3948412698412699,45
17,entropy,8,7,10,balanced,6,60,60,0.8409090909090909,0.851063829787234,0.9049586776859504,44
17,entropy,8,7,10,balanced,6,61,61,0.6744186046511628,0.6666666666666666,0.7207792207792207,43
17,entropy,8,7,10,balanced,6,62,62,0.7777777777777778,0.75,0.8557312252964427,45
17,entropy,8,7,10,balanced,6,63,63,0.5581395348837209,0.3448275862068966,0.5313852813852814,43
17,entropy,8,7,10,balanced,6,64,64,0.4888888888888889,0.6567164179104478,0.5,45
17,entropy,8,7,10,balanced,6,65,65,0.6,0.4375,0.5833333333333333,45
17,entropy,8,7,10,balanced,6,66,66,0.5333333333333333,0.5531914893617021,0.5652173913043478,45
17,entropy,8,7,10,balanced,6,67,67,0.5555555555555556,0.2857142857142857,0.6205533596837944,45
17,entropy,8,7,10,balanced,6,68,68,0.5111111111111111,0.08333333333333333,0.4555335968379447,45
17,entropy,8,7,10,balanced,6,69,69,0.6,0.4375,0.5734126984126985,45
17,entropy,8,7,10,balanced,6,70,70,0.6666666666666666,0.5945945945945946,0.6106719367588933,45
17,entropy,8,7,10,balanced,6,71,71,0.6888888888888889,0.6666666666666666,0.6363636363636364,45
17,entropy,8,7,10,balanced,6,72,72,0.5111111111111111,0.6764705882352942,0.5,45
17,entropy,8,7,10,balanced,6,73,73,0.4888888888888889,0.6567164179104478,0.5,45
17,entropy,8,7,10,balanced,6,74,74,0.5555555555555556,0.16666666666666666,0.5059523809523809,45
17,entropy,8,7,10,balanced,6,75,75,0.6341463414634146,0.6808510638297872,0.5845238095238094,41
17,entropy,8,7,10,balanced,6,76,76,0.4888888888888889,0.6567164179104478,0.5019762845849802,45
17,entropy,8,7,10,balanced,6,77,77,0.4888888888888889,0.5306122448979592,0.47817460317460325,45
17,entropy,8,7,10,balanced,6,78,78,0.5777777777777777,0.6545454545454545,0.607707509881423,45
17,entropy,8,7,10,balanced,6,79,79,0.675,0.6285714285714286,0.67375,40
17,entropy,8,7,10,balanced,6,80,80,0.5333333333333333,0.16,0.6185770750988142,45
17,entropy,8,7,10,balanced,6,81,81,0.6,0.5263157894736842,0.6650197628458497,45
17,entropy,8,7,10,balanced,6,82,82,0.5333333333333333,0.6440677966101694,0.641304347826087,45
17,entropy,8,7,10,balanced,6,83,83,0.5526315789473685,0.2608695652173913,0.5623268698060941,38
17,entropy,8,7,10,balanced,6,84,84,0.5681818181818182,0.5957446808510638,0.6573498964803313,44
17,entropy,8,7,10,balanced,6,85,85,0.5681818181818182,0.6666666666666666,0.8146997929606624,44
17,entropy,8,7,10,balanced,6,86,86,0.6136363636363636,0.6666666666666666,0.6273291925465838,44
17,entropy,8,7,10,balanced,6,87,87,0.5777777777777777,0.5581395348837209,0.5533596837944664,45
17,entropy,8,7,10,balanced,6,88,88,0.45454545454545453,0.0,0.49074074074074076,55
17,entropy,8,7,10,balanced,6,89,89,0.5111111111111111,0.65625,0.5416666666666667,45
17,entropy,8,7,10,balanced,6,90,90,0.4666666666666667,0.5384615384615384,0.4683794466403162,45
17,entropy,8,7,10,balanced,6,91,91,0.6363636363636364,0.7333333333333333,0.7035123966942148,44
17,entropy,8,7,10,balanced,6,92,92,0.5535714285714286,0.4444444444444444,0.701923076923077,56
17,entropy,8,7,10,balanced,6,93,93,0.6444444444444445,0.6,0.7450592885375494,45
17,entropy,8,7,10,balanced,6,94,94,0.7727272727272727,0.8076923076923077,0.9296066252587991,44
17,entropy,8,7,10,balanced,6,95,95,0.42857142857142855,0.38461538461538464,0.3489583333333333,28
17,entropy,8,7,10,balanced,6,96,96,0.5714285714285714,0.6785714285714286,0.5839002267573696,42
17,entropy,8,7,10,balanced,6,97,97,0.5,0.0,0.4142561983471074,44
17,entropy,8,7,10,balanced,6,98,98,0.5111111111111111,0.3888888888888889,0.5405138339920948,45
17,entropy,8,7,10,balanced,6,99,99,0.4418604651162791,0.3684210526315789,0.5086580086580087,43
17,entropy,8,7,10,balanced,6,100,100,0.5277777777777778,0.5641025641025641,0.5509259259259258,36
17,entropy,8,7,10,balanced,6,101,101,0.4888888888888889,0.0,0.37944664031620556,45
17,entropy,8,7,10,balanced,6,102,102,0.4888888888888889,0.14814814814814814,0.4980237154150197,45
17,entropy,8,7,10,balanced,6,103,103,0.6046511627906976,0.5641025641025641,0.6764069264069263,43
17,entropy,8,7,10,balanced,6,104,104,0.5581395348837209,0.5581395348837209,0.564935064935065,43
17,entropy,8,7,10,balanced,6,105,105,0.5777777777777777,0.3870967741935484,0.549407114624506,45
17,entropy,8,7,10,balanced,6,106,106,0.6666666666666666,0.5945945945945946,0.695436507936508,45
17,entropy,8,7,10,balanced,6,107,107,0.4222222222222222,0.48,0.4751984126984127,45
17,entropy,8,7,10,balanced,6,108,108,0.6666666666666666,0.6511627906976745,0.7737154150197628,45
18,entropy,6,7,6,balanced,6,1,1,0.5333333333333333,0.6557377049180327,0.525691699604743,45
18,entropy,6,7,6,balanced,6,2,2,0.8,0.7804878048780488,0.8152173913043479,45
18,entropy,6,7,6,balanced,6,3,3,0.4888888888888889,0.5964912280701754,0.5,45
18,entropy,6,7,6,balanced,6,4,4,0.5111111111111111,0.0,0.5,45
18,entropy,6,7,6,balanced,6,5,5,0.4444444444444444,0.13793103448275862,0.43353174603174605,45
18,entropy,6,7,6,balanced,6,6,6,0.4888888888888889,0.5106382978723404,0.49404761904761907,45
18,entropy,6,7,6,balanced,6,7,7,0.5333333333333333,0.676923076923077,0.7154150197628459,45
18,entropy,6,7,6,balanced,6,8,8,0.6,0.71875,0.6264822134387351,45
18,entropy,6,7,6,balanced,6,9,9,0.5555555555555556,0.5238095238095238,0.5535714285714285,45
18,entropy,6,7,6,balanced,6,10,10,0.5555555555555556,0.5833333333333334,0.625,45
18,entropy,6,7,6,balanced,6,11,11,0.4888888888888889,0.6567164179104478,0.5,45
18,entropy,6,7,6,balanced,6,12,12,0.5333333333333333,0.6956521739130435,0.5208333333333334,45
18,entropy,6,7,6,balanced,6,13,13,0.7714285714285715,0.7647058823529411,0.8186274509803921,35
18,entropy,6,7,6,balanced,6,14,14,0.5777777777777777,0.7076923076923077,0.5869565217391304,45
18,entropy,6,7,6,balanced,6,15,15,0.6444444444444445,0.7241379310344828,0.841897233201581,45
18,entropy,6,7,6,balanced,6,16,16,0.4888888888888889,0.6567164179104478,0.4565217391304348,45
18,entropy,6,7,6,balanced,6,17,17,0.5714285714285714,0.18181818181818182,0.46363636363636357,42
18,entropy,6,7,6,balanced,6,18,18,0.4888888888888889,0.0,0.5,45
18,entropy,6,7,6,balanced,6,19,19,0.5333333333333333,0.631578947368421,0.5839920948616601,45
18,entropy,6,7,6,balanced,6,20,20,0.5111111111111111,0.0,0.5,45
18,entropy,6,7,6,balanced,6,21,21,0.4666666666666667,0.6363636363636364,0.6071428571428572,45
18,entropy,6,7,6,balanced,6,22,22,0.6222222222222222,0.7301587301587301,0.5889328063241106,45
18,entropy,6,7,6,balanced,6,23,23,0.5681818181818182,0.6984126984126984,0.7417355371900826,44
18,entropy,6,7,6,balanced,6,24,24,0.3333333333333333,0.14285714285714285,0.3116883116883117,18
18,entropy,6,7,6,balanced,6,25,25,0.4888888888888889,0.6567164179104478,0.5,45
18,entropy,6,7,6,balanced,6,26,26,0.5333333333333333,0.0,0.5,45
18,entropy,6,7,6,balanced,6,27,27,0.4666666666666667,0.6129032258064516,0.5701581027667985,45
18,entropy,6,7,6,balanced,6,28,28,0.4,0.18181818181818182,0.4031620553359684,45
18,entropy,6,7,6,balanced,6,29,29,0.5555555555555556,0.47368421052631576,0.5543478260869565,45
18,entropy,6,7,6,balanced,6,30,30,0.5333333333333333,0.0,0.5,45
18,entropy,6,7,6,balanced,6,31,31,0.6222222222222222,0.7213114754098361,0.6590909090909091,45
18,entropy,6,7,6,balanced,6,32,32,0.6818181818181818,0.7407407407407407,0.7546583850931678,44
18,entropy,6,7,6,balanced,6,33,33,0.6888888888888889,0.6956521739130435,0.8122529644268776,45
18,entropy,6,7,6,balanced,6,34,34,0.5777777777777777,0.3448275862068966,0.6607142857142857,45
18,entropy,6,7,6,balanced,6,35,35,0.5555555555555556,0.23076923076923078,0.6215415019762845,45
18,entropy,6,7,6,balanced,6,36,36,0.5227272727272727,0.6181818181818182,0.5950413223140496,44
18,entropy,6,7,6,balanced,6,37,37,0.5111111111111111,0.0,0.5,45
18,entropy,6,7,6,balanced,6,38,38,0.5555555555555556,0.6666666666666666,0.5849802371541502,45
18,entropy,6,7,6,balanced,6,39,39,0.4090909090909091,0.4090909090909091,0.39855072463768115,44
18,entropy,6,7,6,balanced,6,40,40,0.4222222222222222,0.0,0.5049603174603174,45
18,entropy,6,7,6,balanced,6,41,41,0.5333333333333333,0.0,0.5,45
18,entropy,6,7,6,balanced,6,42,42,0.6888888888888889,0.6818181818181818,0.8023715415019763,45
18,entropy,6,7,6,balanced,6,43,43,0.6666666666666666,0.4827586206896552,0.7440711462450593,45
18,entropy,6,7,6,balanced,6,44,44,0.6551724137931034,0.6875,0.7142857142857142,29
18,entropy,6,7,6,balanced,6,45,45,0.5777777777777777,0.5365853658536586,0.58300395256917,45
18,entropy,6,7,6,balanced,6,46,46,0.4666666666666667,0.625,0.4762845849802371,45
18,entropy,6,7,6,balanced,6,47,47,0.5333333333333333,0.0,0.5,45
18,entropy,6,7,6,balanced,6,48,48,0.6470588235294118,0.7,0.5214285714285714,17
18,entropy,6,7,6,balanced,6,49,49,0.8,0.7692307692307693,0.8260869565217391,45
18,entropy,6,7,6,balanced,6,50,50,0.4888888888888889,0.6567164179104478,0.5,45
18,entropy,6,7,6,balanced,6,51,51,0.5333333333333333,0.0,0.5,45
18,entropy,6,7,6,balanced,6,52,52,0.6585365853658537,0.5333333333333333,0.6590909090909092,41
18,entropy,6,7,6,balanced,6,53,53,0.5813953488372093,0.6086956521739131,0.5551948051948052,43
18,entropy,6,7,6,balanced,6,54,54,0.7435897435897436,0.7058823529411765,0.7703804347826088,39
18,entropy,6,7,6,balanced,6,55,55,0.5111111111111111,0.0,0.5,45
18,entropy,6,7,6,balanced,6,56,56,0.6590909090909091,0.7272727272727273,0.7944214876033058,44
18,entropy,6,7,6,balanced,6,57,57,0.4888888888888889,0.5660377358490566,0.5694444444444444,45
18,entropy,6,7,6,balanced,6,58,58,0.5555555555555556,0.6296296296296297,0.5793650793650794,45
18,entropy,6,7,6,balanced,6,59,59,0.4666666666666667,0.4,0.44345238095238093,45
18,entropy,6,7,6,balanced,6,60,60,0.8409090909090909,0.851063829787234,0.8667355371900827,44
18,entropy,6,7,6,balanced,6,61,61,0.7441860465116279,0.7659574468085106,0.8019480519480519,43
18,entropy,6,7,6,balanced,6,62,62,0.7333333333333333,0.6666666666666666,0.8359683794466404,45
18,entropy,6,7,6,balanced,6,63,63,0.4883720930232558,0.0,0.5183982683982684,43
18,entropy,6,7,6,balanced,6,64,64,0.5111111111111111,0.0,0.5,45
18,entropy,6,7,6,balanced,6,65,65,0.5333333333333333,0.6666666666666666,0.5625,45
18,entropy,6,7,6,balanced,6,66,66,0.4888888888888889,0.6461538461538462,0.5326086956521738,45
18,entropy,6,7,6,balanced,6,67,67,0.4888888888888889,0.0,0.5681818181818181,45
18,entropy,6,7,6,balanced,6,68,68,0.5111111111111111,0.15384615384615385,0.5405138339920948,45
18,entropy,6,7,6,balanced,6,69,69,0.4888888888888889,0.5490196078431373,0.5208333333333334,45
18,entropy,6,7,6,balanced,6,70,70,0.5333333333333333,0.5882352941176471,0.5345849802371542,45
18,entropy,6,7,6,balanced,6,71,71,0.7777777777777778,0.8148148148148148,0.7934782608695652,45
18,entropy,6,7,6,balanced,6,72,72,0.5111111111111111,0.6764705882352942,0.5,45
18,entropy,6,7,6,balanced,6,73,73,0.5111111111111111,0.0,0.5,45
18,entropy,6,7,6,balanced,6,74,74,0.4444444444444444,0.6153846153846154,0.5059523809523809,45
18,entropy,6,7,6,balanced,6,75,75,0.4634146341463415,0.6206896551724138,0.6392857142857145,41
18,entropy,6,7,6,balanced,6,76,76,0.5111111111111111,0.0,0.5,45
18,entropy,6,7,6,balanced,6,77,77,0.4888888888888889,0.5306122448979592,0.5188492063492063,45
18,entropy,6,7,6,balanced,6,78,78,0.5777777777777777,0.6666666666666666,0.5928853754940712,45
18,entropy,6,7,6,balanced,6,79,79,0.7,0.6470588235294118,0.61,40
18,entropy,6,7,6,balanced,6,80,80,0.5777777777777777,0.2962962962962963,0.5691699604743083,45
18,entropy,6,7,6,balanced,6,81,81,0.4888888888888889,0.0,0.625494071146245,45
18,entropy,6,7,6,balanced,6,82,82,0.5111111111111111,0.6666666666666666,0.6116600790513833,45
18,entropy,6,7,6,balanced,6,83,83,0.5526315789473685,0.19047619047619047,0.5595567867036011,38
18,entropy,6,7,6,balanced,6,84,84,0.6363636363636364,0.6666666666666666,0.7039337474120084,44
18,entropy,6,7,6,balanced,6,85,85,0.6136363636363636,0.7017543859649122,0.8250517598343685,44
18,entropy,6,7,6,balanced,6,86,86,0.6136363636363636,0.6666666666666666,0.6376811594202898,44
18,entropy,6,7,6,balanced,6,87,87,0.4666666666666667,0.5714285714285714,0.5167984189723319,45
18,entropy,6,7,6,balanced,6,88,88,0.509090909090909,0.425531914893617,0.5052910052910053,55
18,entropy,6,7,6,balanced,6,89,89,0.5333333333333333,0.0,0.5,45
18,entropy,6,7,6,balanced,6,90,90,0.5111111111111111,0.6451612903225806,0.5553359683794465,45
18,entropy,6,7,6,balanced,6,91,91,0.5,0.6666666666666666,0.6342975206611571,44
18,entropy,6,7,6,balanced,6,92,92,0.5178571428571429,0.34146341463414637,0.6166666666666667,56
18,entropy,6,7,6,balanced,6,93,93,0.7111111111111111,0.7346938775510204,0.8013833992094863,45
18,entropy,6,7,6,balanced,6,94,94,0.8181818181818182,0.8461538461538461,0.8364389233954451,44
18,entropy,6,7,6,balanced,6,95,95,0.32142857142857145,0.4864864864864865,0.45833333333333337,28
18,entropy,6,7,6,balanced,6,96,96,0.5714285714285714,0.6896551724137931,0.5498866213151927,42
18,entropy,6,7,6,balanced,6,97,97,0.5,0.0,0.48966942148760334,44
18,entropy,6,7,6,balanced,6,98,98,0.5111111111111111,0.6206896551724138,0.5098814229249012,45
18,entropy,6,7,6,balanced,6,99,99,0.5581395348837209,0.5777777777777777,0.5422077922077922,43
18,entropy,6,7,6,balanced,6,100,100,0.5,0.4375,0.43827160493827155,36
18,entropy,6,7,6,balanced,6,101,101,0.6666666666666666,0.5945945945945946,0.6818181818181818,45
18,entropy,6,7,6,balanced,6,102,102,0.5111111111111111,0.6764705882352942,0.5,45
18,entropy,6,7,6,balanced,6,103,103,0.5348837209302325,0.5454545454545454,0.5909090909090908,43
18,entropy,6,7,6,balanced,6,104,104,0.5813953488372093,0.64,0.5952380952380952,43
18,entropy,6,7,6,balanced,6,105,105,0.5111111111111111,0.5,0.5079051383399209,45
18,entropy,6,7,6,balanced,6,106,106,0.4888888888888889,0.46511627906976744,0.5287698412698413,45
18,entropy,6,7,6,balanced,6,107,107,0.4222222222222222,0.48,0.44543650793650796,45
18,entropy,6,7,6,balanced,6,108,108,0.7333333333333333,0.7,0.7885375494071146,45
19,entropy,7,4,4,balanced,6,1,1,0.6,0.6896551724137931,0.5849802371541503,45
19,entropy,7,4,4,balanced,6,2,2,0.8,0.7804878048780488,0.8152173913043479,45
19,entropy,7,4,4,balanced,6,3,3,0.4888888888888889,0.5964912280701754,0.5138339920948616,45
19,entropy,7,4,4,balanced,6,4,4,0.5333333333333333,0.16,0.5237154150197628,45
19,entropy,7,4,4,balanced,6,5,5,0.4444444444444444,0.32432432432432434,0.4255952380952381,45
19,entropy,7,4,4,balanced,6,6,6,0.5333333333333333,0.2222222222222222,0.5158730158730158,45
19,entropy,7,4,4,balanced,6,7,7,0.5333333333333333,0.676923076923077,0.857707509881423,45
19,entropy,7,4,4,balanced,6,8,8,0.5777777777777777,0.2962962962962963,0.6620553359683794,45
19,entropy,7,4,4,balanced,6,9,9,0.5333333333333333,0.27586206896551724,0.5496031746031745,45
19,entropy,7,4,4,balanced,6,10,10,0.6,0.5714285714285714,0.6190476190476191,45
19,entropy,7,4,4,balanced,6,11,11,0.4666666666666667,0.6129032258064516,0.47529644268774707,45
19,entropy,7,4,4,balanced,6,12,12,0.4888888888888889,0.14814814814814814,0.5168650793650793,45
19,entropy,7,4,4,balanced,6,13,13,0.6285714285714286,0.38095238095238093,0.8186274509803921,35
19,entropy,7,4,4,balanced,6,14,14,0.5777777777777777,0.7076923076923077,0.5869565217391304,45
19,entropy,7,4,4,balanced,6,15,15,0.7555555555555555,0.7924528301886793,0.8725296442687747,45
19,entropy,7,4,4,balanced,6,16,16,0.4666666666666667,0.14285714285714285,0.45849802371541504,45
19,entropy,7,4,4,balanced,6,17,17,0.5714285714285714,0.18181818181818182,0.5397727272727273,42
19,entropy,7,4,4,balanced,6,18,18,0.4888888888888889,0.0,0.5,45
19,entropy,7,4,4,balanced,6,19,19,0.5555555555555556,0.6296296296296297,0.6086956521739131,45
19,entropy,7,4,4,balanced,6,20,20,0.5111111111111111,0.0,0.5,45
19,entropy,7,4,4,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6071428571428572,45
19,entropy,7,4,4,balanced,6,22,22,0.5777777777777777,0.4864864864864865,0.6551383399209486,45
19,entropy,7,4,4,balanced,6,23,23,0.7045454545454546,0.7450980392156863,0.774793388429752,44
19,entropy,7,4,4,balanced,6,24,24,0.4444444444444444,0.375,0.4155844155844156,18
19,entropy,7,4,4,balanced,6,25,25,0.5111111111111111,0.08333333333333333,0.5,45
19,entropy,7,4,4,balanced,6,26,26,0.5555555555555556,0.09090909090909091,0.5238095238095238,45
19,entropy,7,4,4,balanced,6,27,27,0.4,0.509090909090909,0.5019762845849803,45
19,entropy,7,4,4,balanced,6,28,28,0.4444444444444444,0.32432432432432434,0.3992094861660079,45
