trial_number,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
0,300,log_loss,10,20,4,sqrt,balanced,6,103,103,0.5581395348837209,0.5128205128205128,0.6969696969696969,43
0,300,log_loss,10,20,4,sqrt,balanced,6,104,104,0.5116279069767442,0.5714285714285714,0.48917748917748916,43
0,300,log_loss,10,20,4,sqrt,balanced,6,105,105,0.5111111111111111,0.3125,0.5019762845849802,45
0,300,log_loss,10,20,4,sqrt,balanced,6,106,106,0.6444444444444445,0.6190476190476191,0.7162698412698413,45
0,300,log_loss,10,20,4,sqrt,balanced,6,107,107,0.5111111111111111,0.5416666666666666,0.5674603174603174,45
0,300,log_loss,10,20,4,sqrt,balanced,6,108,108,0.8222222222222222,0.8,0.8675889328063241,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,1,1,0.6222222222222222,0.711864406779661,0.8280632411067195,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,2,2,0.7777777777777778,0.7058823529411765,0.8972332015810276,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,3,3,0.4888888888888889,0.6229508196721312,0.5039525691699605,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,4,4,0.6888888888888889,0.7307692307692307,0.7272727272727274,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,5,5,0.4444444444444444,0.3902439024390244,0.3670634920634921,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,6,6,0.5333333333333333,0.16,0.5535714285714286,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,7,7,0.7333333333333333,0.7857142857142857,0.940711462450593,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,8,8,0.6666666666666666,0.5714285714285714,0.6996047430830039,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,9,9,0.5777777777777777,0.5581395348837209,0.5753968253968254,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,10,10,0.6444444444444445,0.6521739130434783,0.7420634920634921,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,11,11,0.4888888888888889,0.6349206349206349,0.5316205533596837,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,12,12,0.4888888888888889,0.25806451612903225,0.5992063492063493,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,13,13,0.7428571428571429,0.7567567567567568,0.7941176470588236,35
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,14,14,0.6444444444444445,0.7333333333333333,0.6245059288537549,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,15,15,0.5777777777777777,0.6984126984126984,0.9051383399209486,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,16,16,0.6222222222222222,0.5853658536585366,0.6877470355731226,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,17,17,0.5476190476190477,0.09523809523809523,0.5954545454545455,42
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,18,18,0.5111111111111111,0.6071428571428571,0.5138339920948616,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,19,19,0.6,0.7,0.774703557312253,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,20,20,0.4888888888888889,0.0,0.47233201581027673,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,21,21,0.6666666666666666,0.6808510638297872,0.6924603174603174,45
