trial_number,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,28,28,0.5777777777777777,0.6274509803921569,0.5039525691699605,45,9.288411424960941,0.004990009998437017,0.11088911107637815,0.23975372314453125,62850,0.25390625,216.54248046875,0.6725013775355888,0.6881734403696927,0.6897637367248535,6,11
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,29,29,0.5111111111111111,0.4210526315789474,0.5375494071146245,45,6.731872730015311,0.004768264014273882,0.1059614225394196,0.23975372314453125,62850,0.02734375,216.54248046875,0.6802410808476534,0.6920680430802432,0.6914621551831563,3,8
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,30,30,0.5333333333333333,0.0,0.48809523809523814,45,8.459725177031942,0.0049310639733448625,0.10957919940766361,0.23975372314453125,62850,0.0,216.54248046875,0.669751407973694,0.6903267710497885,0.6920632680257162,5,10
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,31,31,0.4444444444444444,0.5098039215686274,0.5632411067193677,45,10.96953487501014,0.004944263957440853,0.10987253238757452,0.23975372314453125,62850,0.02734375,216.54248046875,0.6660776517607949,0.6869010523413167,0.6904968698819478,8,13
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,32,32,0.6818181818181818,0.72,0.6853002070393375,44,9.285933703009505,0.004936790966894478,0.11219979470214722,0.23975372314453125,62850,0.2578125,216.54248046875,0.672143173940254,0.6881511757771174,0.6929423332214355,6,11
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,33,33,0.5555555555555556,0.5,0.5830039525691699,45,7.588775920972694,0.004884550056885928,0.10854555681968728,0.23975372314453125,62850,0.0,216.54248046875,0.6717360105478403,0.6902356987649744,0.6919225176175435,4,9
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,34,34,0.5777777777777777,0.5581395348837209,0.6706349206349206,45,9.248549770971294,0.00478670303709805,0.10637117860217889,0.23975372314453125,62850,0.25390625,216.54248046875,0.6779268803921613,0.6899237863042138,0.6921874801317851,6,11
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,35,35,0.4444444444444444,0.24242424242424243,0.4782608695652174,45,10.962789679004345,0.004801717994268984,0.10670484431708852,0.23975372314453125,62850,0.02734375,216.54248046875,0.6686064009413575,0.6863335768381754,0.6920019666353862,8,13
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,36,36,0.5,0.5416666666666667,0.512396694214876,44,9.28884128696518,0.004923800006508827,0.11190454560247334,0.23975372314453125,62850,0.0,216.54248046875,0.6602275981144472,0.6878019106207471,0.6889168818791708,6,11
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,37,37,0.5555555555555556,0.23076923076923075,0.5098814229249012,45,6.714173687971197,0.004694233008194715,0.10431628907099366,0.23975372314453125,62850,0.0,216.54248046875,0.6800236999988556,0.6921693547205492,0.690728243192037,3,8
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,38,38,0.4,0.4255319148936171,0.32806324110671936,45,8.45247289200779,0.0049074580310843885,0.10905462291298641,0.23975372314453125,62850,0.25390625,216.54248046875,0.6627005045161103,0.6886594435482314,0.6907800316810608,5,10
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,39,39,0.4318181818181818,0.4186046511627907,0.39751552795031053,44,9.243562538002152,0.00495941995177418,0.11271408981304953,0.23975372314453125,62850,0.25390625,216.54248046875,0.6703064658425071,0.6892894212946747,0.6888794819513957,6,11
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,40,40,0.6222222222222222,0.5853658536585366,0.6785714285714286,45,8.391483968007378,0.004818968998733908,0.10708819997186461,0.23975372314453125,62850,0.0,216.54248046875,0.6811010277632511,0.6909449804912914,0.6892797668774923,5,10
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,41,41,0.5333333333333333,0.0,0.34523809523809523,45,7.55891048599733,0.004702753038145602,0.10450562306990226,0.23975372314453125,62850,0.0,216.54248046875,0.6804032705046914,0.6925380234465455,0.6926624019940694,4,9
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,42,42,0.6222222222222222,0.6046511627906976,0.5928853754940712,45,10.108730461040977,0.004821693000849336,0.10714873335220748,0.23975372314453125,62850,0.25390625,216.54248046875,0.6750552545894276,0.6877978710514127,0.6922058423360189,7,12
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,43,43,0.6666666666666666,0.6808510638297872,0.733201581027668,45,6.6980360629968345,0.0048925119917839766,0.10872248870631059,0.23975372314453125,62850,0.0,216.54248046875,0.685176689064864,0.6927961652929132,0.6913272539774576,3,8
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,44,44,0.4827586206896552,0.6341463414634146,0.6142857142857143,29,5.053639261983335,0.002629799011629075,0.09068272453893363,0.23975372314453125,62850,0.1796875,216.54248046875,0.6859435601667925,0.6940658887227377,0.6933060646057129,1,6
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,45,45,0.5333333333333333,0.3636363636363636,0.6047430830039526,45,6.715121615037788,0.004831820027902722,0.10737377839783827,0.23975372314453125,62850,0.02734375,216.54248046875,0.6791759621013295,0.69251192474004,0.6920186241467794,3,8
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,46,46,0.5333333333333333,0.4878048780487805,0.5632411067193677,45,7.596845029038377,0.004799343994818628,0.10665208877374728,0.23975372314453125,62850,0.25390625,216.54248046875,0.6727392398046724,0.6915053391095364,0.6913092454274495,4,9
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,47,47,0.4666666666666667,0.6363636363636364,0.5555555555555556,45,5.036312970041763,0.004708340973593295,0.10462979941318432,0.23975372314453125,62850,0.0,216.54248046875,0.6868904625827615,0.6936387582258745,0.6932785153388977,1,6
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,48,48,0.7058823529411765,0.7368421052631577,0.6285714285714286,17,8.501002420962323,0.00252119597280398,0.14830564545905764,0.23975372314453125,62850,0.2421875,216.54248046875,0.6676758375382961,0.688640082241001,0.6917114973068237,5,10
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,49,49,0.4888888888888889,0.6567164179104478,0.43675889328063244,45,5.887107246962842,0.004926105961203575,0.10946902136007944,0.23975372314453125,62850,0.02734375,216.54248046875,0.6826070628382943,0.6927546375628674,0.6919046719868978,2,7
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,50,50,0.4888888888888889,0.14814814814814814,0.41897233201581024,45,6.755206751986407,0.004749687039293349,0.10554860087318553,0.23975372314453125,62850,0.25390625,216.54248046875,0.6791351004080339,0.6925777910333691,0.6905041058858236,3,8
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,51,51,0.6666666666666666,0.5714285714285714,0.6785714285714285,45,10.11288675002288,0.0047234270023182034,0.10496504449596009,0.23975372314453125,62850,0.0,216.54248046875,0.6633657171870723,0.6873904453082518,0.6904069264729817,7,12
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,52,52,0.5365853658536586,0.45714285714285713,0.5526315789473684,41,5.058342055999674,0.00495264504570514,0.12079622062695462,0.23975372314453125,62850,0.0,216.54248046875,0.6883951714544585,0.6931841061873869,0.6951785802841186,1,6
13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,53,53,0.4418604651162791,0.5384615384615385,0.35930735930735935,43,7.628204615961295,0.004882525012362748,0.11354709331076158,0.23975372314453125,62850,0.25390625,216.54248046875,0.6723712100224062,0.6905095355980324,0.690947957833608,4,9
