parameter_name,parameter_value,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,0.3333333333333333,0.28571428571428564,0.308300395256917,45,22.66729980899254,0.006551258033141494,0.14558351184758875,0.00708770751953125,1858,0.0,24.5439453125,0.5647594016609769,0.586398769960259,0.5631077071030934,22,32
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,0.4888888888888889,0.6567164179104478,0.7490118577075099,45,22.057241283997428,0.004295941966120154,0.0954653770248923,0.00708770751953125,1858,0.0,24.5439453125,0.5600031490127245,0.5877916645823102,0.5686696211496989,21,31
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,0.4888888888888889,0.6229508196721311,0.4444444444444444,45,19.179639092006255,0.004282811016310006,0.09517357814022236,0.00708770751953125,1858,0.0,24.5439453125,0.5695656944404949,0.5908943272449754,0.5857798258463541,17,27
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,6,6,0.5111111111111111,0.45,0.47420634920634924,45,17.04093334497884,0.004312773002311587,0.09583940005136861,0.00708770751953125,1858,0.00390625,24.5439453125,0.5745855052814339,0.5956163833087141,0.5794830977916717,14,24
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,7,7,0.8888888888888888,0.8936170212765958,0.9762845849802371,45,27.07117188401753,0.003124561975710094,0.06943471057133543,0.00708770751953125,1858,0.0,24.5439453125,0.5667692041306784,0.5763276368379593,0.579157664378484,28,38
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,8,8,0.6,0.6086956521739131,0.6897233201581028,45,22.84713178599486,0.005676914006471634,0.12615364458825853,0.00708770751953125,1858,0.0,24.5439453125,0.5554950573679173,0.5807827695301084,0.5837001025676727,22,32
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,9,9,0.6444444444444445,0.5789473684210527,0.6944444444444444,45,16.44453708198853,0.005692348990123719,0.12649664422497153,0.00708770751953125,1858,0.0,24.5439453125,0.5789470543915575,0.603834697017164,0.5855105102062226,13,23
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,10,10,0.6444444444444445,0.6666666666666666,0.6944444444444444,45,22.83301801100606,0.006602801033295691,0.14672891185101533,0.00708770751953125,1858,0.0,24.5439453125,0.5656742451317383,0.5777358812364665,0.5831908226013184,22,32
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,11,11,0.5111111111111111,0.6206896551724137,0.5632411067193676,45,17.83844110002974,0.0043180109933018684,0.09595579985115263,0.00708770751953125,1858,0.0,24.5439453125,0.5758239769122817,0.5951774154197086,0.5754842241605123,15,25
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,12,12,0.7333333333333333,0.7142857142857143,0.871031746031746,45,12.825320283998735,0.0066227049683220685,0.1471712215182682,0.00708770751953125,1858,0.0,24.5439453125,0.5847118104046042,0.6138202378695662,0.5900833090146382,8,18
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,13,13,0.8571428571428571,0.8571428571428571,0.9379084967320261,35,22.222405940992758,0.0042682840139605105,0.12195097182744316,0.00708770751953125,1858,0.0,24.5439453125,0.5704943704785723,0.5833267655336496,0.6066198706626892,21,31
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,14,14,0.6666666666666666,0.7368421052631579,0.7608695652173914,45,25.614070088020526,0.007011759968008846,0.15581688817797437,0.00708770751953125,1858,0.0,24.5439453125,0.5599279024384238,0.5737002699664144,0.5817809919516246,26,36
epochs,75,8,2,16,64,0.25,0.001,32,75,0.0,0.1,10,5,0.5,True,42,15,15,0.6666666666666666,0.7457627118644068,0.9446640316205533,45,18.5344106190023,0.0056959009962156415,0.1265755776936809,0.00708770751953125,1858,0.0,24.5439453125,0.5779307161768278,0.5893895680254156,0.5875892698764801,16,26
