parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2,kernel_length,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
epochs,50,4,4,19,0.5853210064497861,0.5735780616601308,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,20,0.5875463119961999,0.5830934623877208,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,21,0.5757632316513495,0.5732231259346008,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,22,0.5789343450557102,0.5736154834429423,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,23,0.5803608043175755,0.5716809968153636,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,24,0.5745630395231824,0.573821238676707,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,25,0.5750806259386467,0.571940525372823,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,26,0.569671745327386,0.572690737247467,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,27,0.5805970229434244,0.5696591556072235,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,28,0.5753709147825385,0.5701781054337819,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,29,0.5707586308320364,0.569124573469162,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,30,0.5682474006757592,0.5720137079556783,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
