trial_number,kernel,C,gamma,degree,coef0,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,107,107,0.6222222222222222,0.5641025641025641,0.634920634920635,45
0,poly,5.417101889529155,scale,4,1.6468153892660924,balanced,6,108,108,0.8222222222222222,0.7894736842105263,0.891304347826087,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,1,1,0.7555555555555555,0.7843137254901961,0.8517786561264822,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,2,2,0.6444444444444445,0.42857142857142855,0.8774703557312253,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,3,3,0.5111111111111111,0.42105263157894735,0.45256916996047436,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,4,4,0.6444444444444445,0.7333333333333333,0.733201581027668,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,5,5,0.4,0.5423728813559322,0.375,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,6,6,0.5333333333333333,0.0,0.47023809523809523,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,7,7,0.6444444444444445,0.7333333333333333,0.9861660079051384,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,8,8,0.6222222222222222,0.5405405405405406,0.6976284584980237,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,9,9,0.6,0.4375,0.5535714285714286,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,10,10,0.6444444444444445,0.6363636363636364,0.6845238095238095,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,11,11,0.5111111111111111,0.21428571428571427,0.4624505928853755,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,12,12,0.5555555555555556,0.4117647058823529,0.7003968253968255,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,13,13,0.7428571428571429,0.7096774193548387,0.8627450980392157,35
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,14,14,0.6666666666666666,0.6666666666666666,0.7964426877470356,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,15,15,0.6444444444444445,0.7333333333333333,0.9486166007905139,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,16,16,0.6888888888888889,0.7407407407407407,0.7351778656126482,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,17,17,0.5238095238095238,0.0,0.5181818181818182,42
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,18,18,0.4888888888888889,0.6229508196721312,0.41501976284584985,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,19,19,0.7555555555555555,0.7843137254901961,0.8201581027667983,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,20,20,0.5333333333333333,0.08695652173913043,0.5928853754940712,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,21,21,0.6,0.6086956521739131,0.7222222222222222,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,22,22,0.5555555555555556,0.696969696969697,0.717391304347826,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,23,23,0.7045454545454546,0.7636363636363637,0.8388429752066114,44
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,24,24,0.5,0.3076923076923077,0.5064935064935066,18
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,25,25,0.8,0.7804878048780488,0.7707509881422925,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,26,26,0.7555555555555555,0.7659574468085106,0.7559523809523809,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,27,27,0.4888888888888889,0.6229508196721312,0.5810276679841897,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,28,28,0.5777777777777777,0.4864864864864865,0.5849802371541502,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,29,29,0.8222222222222222,0.8461538461538461,1.0,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,30,30,0.5111111111111111,0.0,0.625,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,31,31,0.8888888888888888,0.8888888888888888,0.9723320158102766,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,32,32,0.8636363636363636,0.8846153846153846,0.94824016563147,44
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,33,33,0.7111111111111111,0.6285714285714286,0.8616600790513834,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,34,34,0.8666666666666667,0.8846153846153846,0.9761904761904762,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,35,35,0.5333333333333333,0.16,0.8379446640316206,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,36,36,0.45454545454545453,0.42857142857142855,0.45661157024793386,44
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,37,37,0.5111111111111111,0.0,0.4031620553359684,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,38,38,0.6,0.4,0.5691699604743083,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,39,39,0.5,0.47619047619047616,0.4968944099378882,44
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,40,40,0.4444444444444444,0.0,0.5138888888888888,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,41,41,0.6444444444444445,0.5789473684210527,0.7777777777777778,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,42,42,0.9333333333333333,0.9333333333333333,0.9802371541501976,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,43,43,0.7777777777777778,0.7222222222222222,0.9328063241106719,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,44,44,0.5862068965517241,0.45454545454545453,0.7666666666666666,29
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,45,45,0.5333333333333333,0.16,0.6600790513833992,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,46,46,0.7555555555555555,0.7027027027027027,0.7272727272727273,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,47,47,0.4666666666666667,0.5555555555555556,0.5892857142857143,45
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,48,48,0.6470588235294118,0.5714285714285714,0.9571428571428571,17
1,rbf,4.3963122413897695,scale,unused,unused,balanced,6,49,49,0.8444444444444444,0.8205128205128205,0.9486166007905139,45
