parameter_name,parameter_value,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc
C,1.0,lwf,riemann,1.0,lbfgs,balanced,9,9,0.6222222222222222,0.5641025641025641,0.5357142857142857
C,1.0,lwf,riemann,1.0,lbfgs,balanced,10,10,0.5555555555555556,0.6666666666666666,0.6845238095238095
C,1.0,lwf,riemann,1.0,lbfgs,balanced,11,11,0.5111111111111111,0.0,0.4782608695652174
C,1.0,lwf,riemann,1.0,lbfgs,balanced,12,12,0.8,0.7906976744186046,0.8412698412698413
C,1.0,lwf,riemann,1.0,lbfgs,balanced,13,13,0.7714285714285715,0.75,0.8725490196078431
C,1.0,lwf,riemann,1.0,lbfgs,balanced,14,14,0.6666666666666666,0.6511627906976745,0.7371541501976284
C,1.0,lwf,riemann,1.0,lbfgs,balanced,15,15,0.6222222222222222,0.7213114754098361,0.932806324110672
C,1.0,lwf,riemann,1.0,lbfgs,balanced,16,16,0.5555555555555556,0.6875,0.7924901185770751
C,1.0,lwf,riemann,1.0,lbfgs,balanced,17,17,0.5476190476190477,0.17391304347826086,0.6068181818181818
C,1.0,lwf,riemann,1.0,lbfgs,balanced,18,18,0.5111111111111111,0.65625,0.39920948616600793
C,1.0,lwf,riemann,1.0,lbfgs,balanced,19,19,0.5555555555555556,0.16666666666666666,0.6699604743083004
C,1.0,lwf,riemann,1.0,lbfgs,balanced,20,20,0.5555555555555556,0.5238095238095238,0.6205533596837944
C,1.0,lwf,riemann,1.0,lbfgs,balanced,21,21,0.6444444444444445,0.6190476190476191,0.6746031746031745
C,1.0,lwf,riemann,1.0,lbfgs,balanced,22,22,0.6444444444444445,0.6190476190476191,0.683794466403162
C,1.0,lwf,riemann,1.0,lbfgs,balanced,23,23,0.7272727272727273,0.7692307692307693,0.8884297520661156
C,1.0,lwf,riemann,1.0,lbfgs,balanced,24,24,0.6666666666666666,0.7857142857142857,0.8181818181818181
C,1.0,lwf,riemann,1.0,lbfgs,balanced,25,25,0.5777777777777777,0.6545454545454545,0.691699604743083
