parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,37,37,0.5111111111111111,0.0,0.5197628458498024,25.099383968999973,0.004655449999972916,0.10345444444384257,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,38,38,0.6222222222222222,0.5142857142857142,0.6126482213438735,17.83043702100008,0.002890685000011217,0.0642374444446937,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,39,39,0.5681818181818182,0.6779661016949152,0.6004140786749482,15.722826919999989,0.002775376999807122,0.06307674999561641,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,40,40,0.4666666666666667,0.0,0.47222222222222227,17.688886726999954,0.002609292999977697,0.05798428888839327,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,41,41,0.5333333333333333,0.0,0.7182539682539683,20.048309717999928,0.004382090000035532,0.09737977777856739,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,42,42,0.6222222222222222,0.7213114754098361,0.9426877470355731,16.897883873000183,0.0026304550001441385,0.05845455555875863,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,43,43,0.6,0.7096774193548387,0.9308300395256918,15.528640429999996,0.004223548000027222,0.09385662222282716,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,44,44,0.7241379310344828,0.7647058823529411,0.8380952380952381,19.18174248299988,0.0017208340000252065,0.05933910344914505,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,45,45,0.6222222222222222,0.45161290322580644,0.8063241106719368,19.441778346000092,0.004218729999820425,0.09374955555156501,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,46,46,0.5111111111111111,0.6666666666666666,0.7727272727272727,18.70213036899986,0.0029657659999884345,0.06590591111085409,0.014316558837890625,1858,0.01171875,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,47,47,0.4666666666666667,0.6363636363636364,0.5515873015873015,14.813988025000072,0.0036942859999271604,0.08209524444282579,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,48,48,0.7647058823529411,0.75,0.9428571428571428,14.137420610000163,0.0015069089999997232,0.08864170588233665,0.014316558837890625,1858,0.09765625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,49,49,0.6888888888888889,0.7586206896551724,0.9308300395256917,13.000003893999974,0.0025326059999315476,0.056280133331812164,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,50,50,0.5111111111111111,0.0,0.5513833992094861,13.125771773999986,0.0025754230000529788,0.05723162222339953,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,51,51,0.4666666666666667,0.625,0.5753968253968255,12.994024898999896,0.0025355430000217893,0.05634540000048421,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,52,52,0.8292682926829268,0.8,0.9186602870813397,12.962811332000001,0.004156715000135591,0.10138329268623393,0.014316558837890625,1858,0.07421875,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,53,53,0.46511627906976744,0.4888888888888889,0.461038961038961,15.26575062500001,0.003722370999867053,0.08656676743876868,0.014316558837890625,1858,0.12109375,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,54,54,0.6923076923076923,0.5714285714285714,0.8043478260869565,18.535120600000027,0.002607623000130843,0.06686212820848317,0.014316558837890625,1858,0.0546875,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,55,55,0.5111111111111111,0.0,0.9565217391304348,14.274040655999897,0.002569768000057593,0.0571059555568354,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,56,56,0.6363636363636364,0.42857142857142855,0.902892561983471,18.438231602000087,0.004452079999964553,0.10118363636283076,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,57,57,0.4888888888888889,0.6461538461538462,0.5833333333333334,16.32033530900003,0.003918977000012092,0.08708837777804648,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,58,58,0.5333333333333333,0.0,0.7837301587301587,16.353613852999842,0.0025371520000589953,0.05638115555686656,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,59,59,0.4888888888888889,0.5490196078431373,0.5337301587301587,18.38162490799982,0.003900188999978127,0.0866708666661806,0.014316558837890625,1858,0.00390625,30.56884765625
