parameter_name,parameter_value,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
criterion,gini,gini,5,10,5,balanced,6,74,74,0.5555555555555556,0.16666666666666666,0.5267857142857143
criterion,gini,gini,5,10,5,balanced,6,75,75,0.6829268292682927,0.5806451612903226,0.6607142857142857
criterion,gini,gini,5,10,5,balanced,6,76,76,0.5111111111111111,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,77,77,0.5111111111111111,0.56,0.5902777777777779
criterion,gini,gini,5,10,5,balanced,6,78,78,0.5333333333333333,0.2222222222222222,0.5247035573122529
criterion,gini,gini,5,10,5,balanced,6,79,79,0.675,0.6285714285714286,0.63125
criterion,gini,gini,5,10,5,balanced,6,80,80,0.5777777777777777,0.2962962962962963,0.5691699604743083
criterion,gini,gini,5,10,5,balanced,6,81,81,0.4888888888888889,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,82,82,0.4888888888888889,0.6349206349206349,0.6096837944664032
criterion,gini,gini,5,10,5,balanced,6,83,83,0.5789473684210527,0.2727272727272727,0.6648199445983379
criterion,gini,gini,5,10,5,balanced,6,84,84,0.5681818181818182,0.5365853658536586,0.6490683229813665
criterion,gini,gini,5,10,5,balanced,6,85,85,0.6363636363636364,0.7142857142857143,0.8146997929606625
criterion,gini,gini,5,10,5,balanced,6,86,86,0.5454545454545454,0.2857142857142857,0.5631469979296065
criterion,gini,gini,5,10,5,balanced,6,87,87,0.4888888888888889,0.5964912280701754,0.49999999999999994
criterion,gini,gini,5,10,5,balanced,6,88,88,0.509090909090909,0.425531914893617,0.5052910052910053
criterion,gini,gini,5,10,5,balanced,6,89,89,0.5333333333333333,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,90,90,0.5111111111111111,0.6333333333333333,0.5118577075098814
criterion,gini,gini,5,10,5,balanced,6,91,91,0.5227272727272727,0.676923076923077,0.609504132231405
criterion,gini,gini,5,10,5,balanced,6,92,92,0.5714285714285714,0.42857142857142855,0.7160256410256411
criterion,gini,gini,5,10,5,balanced,6,93,93,0.7555555555555555,0.7027027027027027,0.7519762845849802
criterion,gini,gini,5,10,5,balanced,6,94,94,0.8181818181818182,0.8461538461538461,0.8726708074534162
criterion,gini,gini,5,10,5,balanced,6,95,95,0.6428571428571429,0.5833333333333334,0.6171875
criterion,gini,gini,5,10,5,balanced,6,96,96,0.5714285714285714,0.6896551724137931,0.5419501133786848
criterion,gini,gini,5,10,5,balanced,6,97,97,0.5,0.0,0.48347107438016534
criterion,gini,gini,5,10,5,balanced,6,98,98,0.5111111111111111,0.21428571428571427,0.4634387351778656
criterion,gini,gini,5,10,5,balanced,6,99,99,0.4883720930232558,0.6071428571428571,0.512987012987013
criterion,gini,gini,5,10,5,balanced,6,100,100,0.6111111111111112,0.5,0.6512345679012346
criterion,gini,gini,5,10,5,balanced,6,101,101,0.4888888888888889,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,102,102,0.4888888888888889,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,103,103,0.6511627906976745,0.5454545454545454,0.6666666666666667
criterion,gini,gini,5,10,5,balanced,6,104,104,0.5813953488372093,0.5714285714285714,0.5811688311688311
criterion,gini,gini,5,10,5,balanced,6,105,105,0.5111111111111111,0.5,0.5217391304347826
criterion,gini,gini,5,10,5,balanced,6,106,106,0.4888888888888889,0.46511627906976744,0.5138888888888888
criterion,gini,gini,5,10,5,balanced,6,107,107,0.4222222222222222,0.48,0.4375
criterion,gini,gini,5,10,5,balanced,6,108,108,0.6444444444444445,0.5555555555555556,0.782608695652174
criterion,entropy,entropy,5,10,5,balanced,6,1,1,0.5333333333333333,0.6557377049180327,0.525691699604743
criterion,entropy,entropy,5,10,5,balanced,6,2,2,0.8,0.7804878048780488,0.825098814229249
criterion,entropy,entropy,5,10,5,balanced,6,3,3,0.4888888888888889,0.5964912280701754,0.4901185770750988
criterion,entropy,entropy,5,10,5,balanced,6,4,4,0.5111111111111111,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,5,5,0.4444444444444444,0.13793103448275862,0.47023809523809523
criterion,entropy,entropy,5,10,5,balanced,6,6,6,0.5111111111111111,0.15384615384615385,0.5009920634920635
criterion,entropy,entropy,5,10,5,balanced,6,7,7,0.6888888888888889,0.5625,0.6837944664031622
criterion,entropy,entropy,5,10,5,balanced,6,8,8,0.5333333333333333,0.16,0.5434782608695652
criterion,entropy,entropy,5,10,5,balanced,6,9,9,0.5555555555555556,0.5238095238095238,0.5535714285714285
criterion,entropy,entropy,5,10,5,balanced,6,10,10,0.5333333333333333,0.5531914893617021,0.6051587301587301
criterion,entropy,entropy,5,10,5,balanced,6,11,11,0.5111111111111111,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,12,12,0.4888888888888889,0.08,0.5208333333333334
criterion,entropy,entropy,5,10,5,balanced,6,13,13,0.7428571428571429,0.7096774193548387,0.8529411764705882
criterion,entropy,entropy,5,10,5,balanced,6,14,14,0.5777777777777777,0.7076923076923077,0.5869565217391304
criterion,entropy,entropy,5,10,5,balanced,6,15,15,0.6444444444444445,0.7241379310344828,0.825098814229249
criterion,entropy,entropy,5,10,5,balanced,6,16,16,0.4666666666666667,0.14285714285714285,0.475296442687747
criterion,entropy,entropy,5,10,5,balanced,6,17,17,0.5714285714285714,0.18181818181818182,0.5295454545454545
criterion,entropy,entropy,5,10,5,balanced,6,18,18,0.4888888888888889,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,19,19,0.5333333333333333,0.631578947368421,0.5958498023715416
criterion,entropy,entropy,5,10,5,balanced,6,20,20,0.5111111111111111,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6071428571428572
criterion,entropy,entropy,5,10,5,balanced,6,22,22,0.6222222222222222,0.7301587301587301,0.5899209486166008
criterion,entropy,entropy,5,10,5,balanced,6,23,23,0.5681818181818182,0.6984126984126984,0.7407024793388429
criterion,entropy,entropy,5,10,5,balanced,6,24,24,0.3333333333333333,0.14285714285714285,0.35064935064935066
criterion,entropy,entropy,5,10,5,balanced,6,25,25,0.5111111111111111,0.08333333333333333,0.5217391304347826
criterion,entropy,entropy,5,10,5,balanced,6,26,26,0.5333333333333333,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,27,27,0.4666666666666667,0.6129032258064516,0.5622529644268776
criterion,entropy,entropy,5,10,5,balanced,6,28,28,0.4666666666666667,0.4,0.45948616600790515
criterion,entropy,entropy,5,10,5,balanced,6,29,29,0.5555555555555556,0.47368421052631576,0.5523715415019763
criterion,entropy,entropy,5,10,5,balanced,6,30,30,0.5333333333333333,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,31,31,0.5777777777777777,0.7076923076923077,0.6245059288537549
criterion,entropy,entropy,5,10,5,balanced,6,32,32,0.6818181818181818,0.7407407407407407,0.7422360248447206
criterion,entropy,entropy,5,10,5,balanced,6,33,33,0.7333333333333333,0.6842105263157895,0.8428853754940712
criterion,entropy,entropy,5,10,5,balanced,6,34,34,0.5777777777777777,0.3448275862068966,0.6041666666666666
criterion,entropy,entropy,5,10,5,balanced,6,35,35,0.5555555555555556,0.23076923076923078,0.5849802371541502
criterion,entropy,entropy,5,10,5,balanced,6,36,36,0.5681818181818182,0.5957446808510638,0.5950413223140496
criterion,entropy,entropy,5,10,5,balanced,6,37,37,0.5111111111111111,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,38,38,0.5555555555555556,0.6666666666666666,0.5849802371541502
criterion,entropy,entropy,5,10,5,balanced,6,39,39,0.38636363636363635,0.34146341463414637,0.39855072463768115
criterion,entropy,entropy,5,10,5,balanced,6,40,40,0.4222222222222222,0.0,0.3998015873015873
criterion,entropy,entropy,5,10,5,balanced,6,41,41,0.5333333333333333,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,42,42,0.7333333333333333,0.7142857142857143,0.7509881422924901
criterion,entropy,entropy,5,10,5,balanced,6,43,43,0.6666666666666666,0.4827586206896552,0.7519762845849802
criterion,entropy,entropy,5,10,5,balanced,6,44,44,0.6206896551724138,0.6666666666666666,0.6428571428571428
