parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,25,25,0.4888888888888889,0.0,0.8893280632411067,9.953653878000296,0.002386035999734304,0.05302302221631787,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,26,26,0.4666666666666667,0.6363636363636364,0.8670634920634921,9.958576072000142,0.00214968799991766,0.04777084444261466,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,27,27,0.4666666666666667,0.6363636363636364,0.6482213438735178,9.998445553000238,0.0023528609999630135,0.05228579999917808,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,28,28,0.5555555555555556,0.5652173913043478,0.5652173913043478,9.94718598899999,0.0022823190001872717,0.05071820000416159,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,29,29,0.9333333333333333,0.9361702127659575,0.9901185770750988,9.916966879000029,0.0021174200001041754,0.04705377778009279,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,30,30,0.4666666666666667,0.6363636363636364,0.744047619047619,9.941396101000464,0.002098283000123047,0.046628511113845486,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,31,31,0.5555555555555556,0.23076923076923078,0.891304347826087,9.94589354100026,0.0022111970001787995,0.049137711115084436,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,32,32,0.5,0.15384615384615385,0.7784679089026915,9.935343568000462,0.0020554499997160747,0.04671477272081988,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,33,33,0.5555555555555556,0.6875,0.8241106719367589,9.919190790999892,0.0022642779995294404,0.05031728887843201,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,34,34,0.5333333333333333,0.2222222222222222,0.9821428571428572,9.948637014999804,0.0021153739999135723,0.047008311109190494,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,35,35,0.5555555555555556,0.696969696969697,0.8814229249011858,9.959087751999505,0.0020919070002491935,0.04648682222775986,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,36,36,0.38636363636363635,0.4489795918367347,0.3822314049586777,9.951073242999882,0.0022259340003074612,0.050589409097896845,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,37,37,0.4888888888888889,0.6567164179104478,0.4624505928853755,9.958041378999951,0.0022598080004172516,0.05021795556482782,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,38,38,0.5333333333333333,0.6440677966101694,0.5711462450592886,9.961527333000049,0.0021238949993858114,0.04719766665301803,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,39,39,0.5454545454545454,0.2857142857142857,0.6169772256728778,9.941642896999838,0.002105806000145094,0.04785922727602486,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,40,40,0.4666666666666667,0.0,0.636904761904762,9.95896252500006,0.0021363969999583787,0.047475488887963976,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,41,41,0.4666666666666667,0.6363636363636364,0.6646825396825397,9.960963567999897,0.0021215910001046723,0.04714646666899271,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,42,42,0.8888888888888888,0.8888888888888888,0.9446640316205533,9.962667642999804,0.002127597000253445,0.04727993333896545,0.014316558837890625,1858,0.0078125,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,43,43,0.6,0.3076923076923077,0.9545454545454546,9.982076174999747,0.0023076499992384925,0.05128111109418872,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,44,44,0.4827586206896552,0.0,0.9190476190476191,9.97818960800032,0.0013622679998661624,0.04697475861607457,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,45,45,0.5777777777777777,0.24,0.8043478260869565,9.962539133999599,0.002105317000314244,0.04678482222920542,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,46,46,0.5555555555555556,0.375,0.7628458498023717,9.976975544000197,0.0023369130003629834,0.0519314000080663,0.014316558837890625,1858,0.0078125,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,47,47,0.4666666666666667,0.6363636363636364,0.5892857142857143,9.968664555999567,0.002251636000437429,0.050036355565276205,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,48,48,0.5294117647058824,0.3333333333333333,0.9571428571428572,10.008245832000284,0.0010030710000137333,0.05900417647139607,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,49,49,0.5111111111111111,0.6666666666666666,0.9090909090909091,9.972742980000476,0.002317776999916532,0.05150615555370071,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,50,50,0.5111111111111111,0.0,0.5948616600790514,9.98679358299978,0.0023749070005578687,0.05277571112350819,0.014316558837890625,1858,0.01171875,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,51,51,0.5333333333333333,0.0,0.6884920634920635,9.974521726000603,0.002122782999322226,0.04717295554049391,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,52,52,0.6585365853658537,0.4166666666666667,0.8851674641148325,9.982293732000471,0.002047423000476556,0.04993714635308673,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,53,53,0.5116279069767442,0.676923076923077,0.4264069264069264,9.97239786299997,0.0020721470000353293,0.04818946511710068,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,54,54,0.6923076923076923,0.5384615384615384,0.7934782608695653,9.996002355999735,0.002149533000192605,0.055116230774169356,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,55,55,0.5111111111111111,0.0,0.9150197628458498,9.992418055999224,0.002078642999549629,0.046192066656658426,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,56,56,0.8636363636363636,0.88,0.921487603305785,9.955561914999635,0.002150719999917783,0.04887999999813143,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,57,57,0.6444444444444445,0.42857142857142855,0.5317460317460317,9.967513947999578,0.002183339999646705,0.04851866665881567,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,58,58,0.6222222222222222,0.32,0.6706349206349206,9.986938457999713,0.002211555999565462,0.04914568887923249,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,59,59,0.6,0.4,0.6309523809523809,10.010904836000009,0.0021905329995206557,0.04867851110045902,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,60,60,0.8863636363636364,0.8936170212765957,0.9214876033057852,10.004481232000217,0.00212341499991453,0.04825943181623932,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,61,61,0.7674418604651163,0.7368421052631579,0.8506493506493507,10.0267774010008,0.002473045000442653,0.0575126744288989,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,62,62,0.8666666666666667,0.88,0.9565217391304348,10.446692363000693,0.0025014010006998433,0.05558668890444096,0.014316558837890625,1858,0.0078125,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,63,63,0.4883720930232558,0.0,0.5541125541125541,10.03545271999974,0.002343207999729202,0.05449320929602796,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,64,64,0.4888888888888889,0.6461538461538462,0.8023715415019762,10.021517923999454,0.0021902620001128525,0.04867248889139673,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,65,65,0.6666666666666666,0.4827586206896552,0.871031746031746,10.002848780999557,0.0025063690000024508,0.05569708888894335,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,66,66,0.5333333333333333,0.676923076923077,0.6205533596837944,10.004522278999502,0.0022451579998232774,0.049892399996072825,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,67,67,0.5111111111111111,0.08333333333333333,0.6640316205533596,9.985543963000055,0.002286994999849412,0.05082211110776472,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,68,68,0.5111111111111111,0.6764705882352942,0.7569169960474308,10.003106989000116,0.0023134640005082474,0.051410311122405496,0.014316558837890625,1858,0.0,41.77880859375
