parameter_name,parameter_value,solver,shrinkage,csp_components,fold,subject,accuracy,f1_score,roc_auc
csp_components,6,lsqr,auto,6,26,26,0.6222222222222222,0.711864406779661,0.7996031746031746
csp_components,6,lsqr,auto,6,27,27,0.4666666666666667,0.625,0.5889328063241107
csp_components,6,lsqr,auto,6,28,28,0.5111111111111111,0.47619047619047616,0.5494071146245059
csp_components,6,lsqr,auto,6,29,29,0.8222222222222222,0.8461538461538461,1.0
csp_components,6,lsqr,auto,6,30,30,0.6,0.35714285714285715,0.6726190476190477
csp_components,6,lsqr,auto,6,31,31,0.8888888888888888,0.8936170212765957,0.9644268774703557
csp_components,6,lsqr,auto,6,32,32,0.7045454545454546,0.7796610169491526,0.9503105590062112
csp_components,6,lsqr,auto,6,33,33,0.7333333333333333,0.6666666666666666,0.8517786561264822
csp_components,6,lsqr,auto,6,34,34,0.8666666666666667,0.8888888888888888,0.9841269841269841
csp_components,6,lsqr,auto,6,35,35,0.6888888888888889,0.5882352941176471,0.8320158102766799
csp_components,6,lsqr,auto,6,36,36,0.38636363636363635,0.47058823529411764,0.3987603305785124
csp_components,6,lsqr,auto,6,37,37,0.5111111111111111,0.0,0.5770750988142292
csp_components,6,lsqr,auto,6,38,38,0.5333333333333333,0.43243243243243246,0.5948616600790514
csp_components,6,lsqr,auto,6,39,39,0.5454545454545454,0.4444444444444444,0.5134575569358178
csp_components,6,lsqr,auto,6,40,40,0.5333333333333333,0.5714285714285714,0.5376984126984127
csp_components,6,lsqr,auto,6,41,41,0.7333333333333333,0.7142857142857143,0.7738095238095238
csp_components,6,lsqr,auto,6,42,42,0.9111111111111111,0.9130434782608695,0.974308300395257
csp_components,6,lsqr,auto,6,43,43,0.8,0.7567567567567568,0.9268774703557312
csp_components,6,lsqr,auto,6,44,44,0.6896551724137931,0.64,0.8428571428571429
csp_components,6,lsqr,auto,6,45,45,0.5555555555555556,0.2857142857142857,0.8102766798418972
csp_components,6,lsqr,auto,6,46,46,0.6222222222222222,0.6382978723404256,0.725296442687747
csp_components,6,lsqr,auto,6,47,47,0.4888888888888889,0.6461538461538462,0.6170634920634921
csp_components,6,lsqr,auto,6,48,48,0.7647058823529411,0.75,0.9714285714285714
csp_components,6,lsqr,auto,6,49,49,0.8666666666666667,0.8571428571428571,0.9624505928853755
csp_components,6,lsqr,auto,6,50,50,0.4888888888888889,0.20689655172413793,0.6106719367588933
csp_components,6,lsqr,auto,6,51,51,0.5777777777777777,0.17391304347826086,0.5357142857142857
csp_components,6,lsqr,auto,6,52,52,0.7560975609756098,0.6666666666666666,0.8229665071770335
csp_components,6,lsqr,auto,6,53,53,0.5581395348837209,0.5365853658536586,0.564935064935065
csp_components,6,lsqr,auto,6,54,54,0.6153846153846154,0.6666666666666666,0.7907608695652174
csp_components,6,lsqr,auto,6,55,55,0.8888888888888888,0.8888888888888888,0.9288537549407114
csp_components,6,lsqr,auto,6,56,56,0.8409090909090909,0.851063829787234,0.9111570247933884
csp_components,6,lsqr,auto,6,57,57,0.6,0.6538461538461539,0.7142857142857143
csp_components,6,lsqr,auto,6,58,58,0.6,0.5,0.6825396825396824
csp_components,6,lsqr,auto,6,59,59,0.5333333333333333,0.08695652173913043,0.44246031746031744
csp_components,6,lsqr,auto,6,60,60,0.7727272727272727,0.782608695652174,0.9194214876033059
csp_components,6,lsqr,auto,6,61,61,0.7674418604651163,0.7368421052631579,0.8398268398268398
csp_components,6,lsqr,auto,6,62,62,0.9555555555555556,0.9523809523809523,0.9881422924901186
csp_components,6,lsqr,auto,6,63,63,0.4883720930232558,0.0,0.5909090909090909
csp_components,6,lsqr,auto,6,64,64,0.5555555555555556,0.6875,0.7766798418972332
csp_components,6,lsqr,auto,6,65,65,0.6888888888888889,0.7407407407407407,0.7956349206349207
