parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,22,0.5513594211502508,0.5755502919356028,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,23,0.549012562993801,0.5686104456583659,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,24,0.543969170162172,0.5695022066434224,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,25,0.5408170478362025,0.5842695891857147,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,26,0.538325324428804,0.5761435071627299,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,27,0.5341450118205764,0.5752959827582041,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,28,0.5329336259852756,0.5660645584265391,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,29,0.5197845751588995,0.5686279614766439,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,30,0.5230071675596815,0.5681575338045756,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,31,0.5271818588177363,0.5679781297842662,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,32,0.523357583266316,0.5667512098948161,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,33,0.5206488461205454,0.5669562021891276,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,34,0.5230258057514826,0.5761298517386119,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,35,0.5204158129565644,0.5687497138977051,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,36,0.5080672240618503,0.5705690125624339,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,37,0.5161995591990876,0.565502522389094,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,38,0.5158274884928357,0.5663684686024983,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,39,0.5096085179935802,0.5669473826885223,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,40,0.511062930253419,0.5686219414075215,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,41,0.5105814405462958,0.5667909900347392,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,42,0.5129803202368997,0.5681085725625356,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,43,0.5093155437798211,0.5679084281126658,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,44,0.5109702077778903,0.5684409320354462,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,45,0.505727831838709,0.5683823486169179,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,46,0.5101058413133477,0.5697731097539266,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,47,0.5053961584062288,0.5686576167742411,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,1,0.7031487217455199,0.6886633634567261,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,2,0.6774879183733102,0.664421013991038,0.001,8,2,16
