parameter_name,parameter_value,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,38,38,0.6222222222222222,0.5641025641025642,0.7213438735177866,45,57.953829388017766,0.006869334960356355,0.152651888007919,0.00708770751953125,1858,0.00390625,12.30224609375,0.5439804112503284,0.5537819839702359,0.5768953253825505,32,42
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,39,39,0.5909090909090909,0.64,0.6024844720496894,44,32.14833500701934,0.005213740048930049,0.11849409202113748,0.00708770751953125,1858,0.0,12.30224609375,0.5702875712071988,0.5941319637878766,0.5825221041838328,13,23
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,40,40,0.5333333333333333,0.6037735849056604,0.3968253968253968,45,28.918292493966874,0.006060077983420342,0.13466839963156318,0.00708770751953125,1858,0.0,12.30224609375,0.5740481219590844,0.6000548822118302,0.5971150984366734,11,21
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,41,41,0.6222222222222222,0.4848484848484849,0.7281746031746031,45,43.65833574696444,0.006010279001202434,0.13356175558227634,0.00708770751953125,1858,0.00390625,12.30224609375,0.5670182136075125,0.573392116524874,0.5802601476510366,21,31
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,42,42,0.8,0.7567567567567568,0.940711462450593,45,34.865555563999806,0.008729205990675837,0.19398235534835195,0.00708770751953125,1858,0.00390625,12.30224609375,0.5709915723184216,0.5835527937448524,0.5870562632878621,15,25
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,43,43,0.9111111111111111,0.9047619047619048,0.9743083003952568,45,47.17262785200728,0.004967054002918303,0.11037897784262896,0.00708770751953125,1858,0.0,12.30224609375,0.5685144263981866,0.5782008696871566,0.5765470991532008,24,34
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,44,44,0.8620689655172413,0.8571428571428571,0.8904761904761904,29,40.58610343502369,0.00388646696228534,0.13401610214777035,0.00708770751953125,1858,0.09765625,12.30224609375,0.566100992375251,0.5874994759532538,0.6062199304501216,19,29
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,45,45,0.5777777777777777,0.24000000000000002,0.8636363636363636,45,47.43766755901743,0.006158476986456662,0.1368550441434814,0.00708770751953125,1858,0.0,12.30224609375,0.5597258525202936,0.5731042690376819,0.5841611991326014,25,35
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,46,46,0.7111111111111111,0.7346938775510203,0.7707509881422926,45,26.67130935098976,0.005047298967838287,0.11216219928529528,0.00708770751953125,1858,0.0,12.30224609375,0.5816759757215986,0.6150043609024454,0.5876982589562734,9,19
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,47,47,0.4666666666666667,0.625,0.5734126984126984,45,24.86416508903494,0.006158406031318009,0.1368534673626224,0.00708770751953125,1858,0.0,12.30224609375,0.5824041381308335,0.6062974346227972,0.5903456568717956,8,18
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,48,48,0.7058823529411765,0.7058823529411764,0.9285714285714286,17,49.43660237896256,0.004630972980521619,0.2724101753248011,0.00708770751953125,1858,0.1015625,12.30224609375,0.5553254895615127,0.5674769515136503,0.5849327315886815,25,35
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,49,49,0.6666666666666666,0.7368421052631579,0.9031620553359684,45,44.5829080370022,0.00646612502168864,0.14369166714863646,0.00708770751953125,1858,0.00390625,12.30224609375,0.5734723315719416,0.5862781034902927,0.5689249247312546,22,32
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,50,50,0.5333333333333333,0.22222222222222218,0.5810276679841898,45,56.73068047798006,0.005989107012283057,0.13309126693962348,0.00708770751953125,1858,0.0,12.30224609375,0.5466669506673124,0.564059003224391,0.57970616320769,31,41
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,51,51,0.4888888888888889,0.634920634920635,0.5813492063492064,45,33.26965679903515,0.008701814978849143,0.19337366619664761,0.00708770751953125,1858,0.0,12.30224609375,0.5731611673369608,0.5976227313393423,0.5915633797645569,14,24
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,52,52,0.7804878048780488,0.742857142857143,0.8779904306220095,41,29.114930966985412,0.006947048997972161,0.1694402194627356,0.00708770751953125,1858,0.0,12.30224609375,0.580028356927814,0.606239669928045,0.6022207260131835,11,21
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,53,53,0.4883720930232558,0.5217391304347826,0.49783549783549785,43,28.80508323898539,0.006683537969365716,0.15543111556664457,0.00708770751953125,1858,0.0,12.30224609375,0.5739568511569455,0.5973332849518881,0.5858696192502976,11,21
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,54,54,0.7692307692307693,0.7272727272727272,0.8233695652173914,39,38.70367542700842,0.004973681992851198,0.12753030750900507,0.00708770751953125,1858,0.09375,12.30224609375,0.5668872616282015,0.5889886437040387,0.5768911858399709,18,28
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,55,55,0.8444444444444444,0.8108108108108109,0.9664031620553359,45,58.430730921041686,0.006438463053200394,0.14307695673778653,0.00708770751953125,1858,0.0078125,12.30224609375,0.5587639989961689,0.5656061207613564,0.5907572786013285,32,42
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,56,56,0.8409090909090909,0.8444444444444444,0.9090909090909091,44,29.26388284098357,0.006036804988980293,0.13720011338591576,0.00708770751953125,1858,0.0,12.30224609375,0.5717793193153555,0.5974462838000671,0.5951071778933207,11,21
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,57,57,0.5555555555555556,0.5454545454545454,0.621031746031746,45,33.24002613598714,0.005901800992432982,0.13115113316517737,0.00708770751953125,1858,0.0,12.30224609375,0.5699306638068573,0.5955167318704917,0.5896502693494161,14,24
