parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,12,0.624408936184464,0.5907786766688029,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,13,0.6261519794211243,0.592011825243632,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,14,0.6251346407966181,0.5965587139129639,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,15,0.6196199262684042,0.5879572888215383,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,16,0.6241662195234587,0.5926052908102671,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,17,0.624156080186367,0.5883110642433167,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,18,0.6193577322092924,0.5814157327016195,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,19,0.6174037352655873,0.5870647430419922,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,20,0.6130270111289892,0.5853371421496073,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,21,0.6112891040516623,0.5768540422121684,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,22,0.6088734007242954,0.5760776440302531,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,23,0.6066332942608631,0.5759339809417725,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,24,0.6150650192390789,0.5806307474772135,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,25,0.6092224247527845,0.5779374122619629,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,26,0.6066539639776404,0.5717613081137339,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,27,0.6033952464208459,0.5701774597167969,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,28,0.6103290188493151,0.5743158360322317,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,29,0.608036624888579,0.5733989397684733,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,30,0.6034620632276391,0.5701160569985707,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,31,0.6055518050085414,0.5700566450754802,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,32,0.5980582223697142,0.5696973701318105,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,33,0.6074441450111794,0.571647318204244,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,34,0.602649317094774,0.5760175168514252,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,35,0.5970285225546721,0.5779926101366679,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,36,0.5962212796915661,0.5684902509053548,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,37,0.5936766542268522,0.5805056512355804,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,38,0.5965699725078814,0.5677802900473277,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,39,0.6005061074639811,0.5674602965513865,0.001,8,1,8
