trial_number,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,54,54,0.717948717948718,0.6666666666666667,0.8423913043478262,39,10.651371410989668,0.002406448998954147,0.061703820486003765,0.01410675048828125,3698,0.125,43.16455078125,0.5977059857863368,0.6064955314451997,0.5817244867483775,14,19
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,55,55,0.7555555555555555,0.7924528301886793,0.932806324110672,45,18.984269078995567,0.0031326579628512263,0.06961462139669392,0.01410675048828125,3698,0.00390625,43.16455078125,0.5744453659563353,0.580331904870091,0.586405352751414,29,34
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,56,56,0.8636363636363636,0.8695652173913043,0.9152892561983471,44,9.957665877009276,0.0032324609928764403,0.07346502256537364,0.01410675048828125,3698,0.0078125,43.16455078125,0.5952122191136534,0.6055707796053453,0.6128444314002991,13,18
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,57,57,0.5111111111111111,0.5217391304347826,0.611111111111111,45,10.664452171011362,0.002290861972142011,0.05090804382537802,0.01410675048828125,3698,0.0,43.16455078125,0.5882789131366846,0.6025877694288889,0.5975834886233012,14,19
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,58,58,0.6444444444444445,0.6190476190476191,0.748015873015873,45,11.83836528903339,0.0032318320008926094,0.07181848890872466,0.01410675048828125,3698,0.0,43.16455078125,0.586174488067627,0.6064643383477674,0.609661865234375,16,21
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,59,59,0.6,0.35714285714285715,0.636904761904762,45,15.127509625977837,0.0032162570278160274,0.07147237839591171,0.01410675048828125,3698,0.0078125,43.16455078125,0.5849903347817335,0.5827297719590592,0.5994866172472636,22,27
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,60,60,0.8636363636363636,0.8636363636363636,0.9090909090909091,44,13.279349003976677,0.0021344160195440054,0.04850945498963649,0.01410675048828125,3698,0.0,43.16455078125,0.5838111000079097,0.5870682497819265,0.6083820919195811,19,24
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,61,61,0.7441860465116279,0.7659574468085107,0.8658008658008658,43,9.330695036973339,0.0033641099580563605,0.07823511530363629,0.01410675048828125,3698,0.0,43.16455078125,0.6002471453764222,0.6097981033451629,0.5957840760548909,12,17
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,62,62,0.8888888888888888,0.8780487804878049,0.9762845849802372,45,11.62930447096005,0.0025208480074070394,0.05601884460904532,0.01410675048828125,3698,0.0,43.16455078125,0.5855545150962743,0.6060008250854232,0.6154727319876353,16,21
0,8,4,64,0.5,0.001693243511798617,32,75,0.0001,0.1,5,3,0.7,False,42,63,63,0.5348837209302325,0.3333333333333333,0.4956709956709957,43,13.516803975973744,0.0031160340295173228,0.07246590766319355,0.01410675048828125,3698,0.0,43.16455078125,0.5813342978556951,0.5954882032943495,0.6043472647666931,20,25
