trial_number,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,11,11,0.5111111111111111,0.6206896551724137,0.5790513833992095,45,9.870801338984165,0.0027012400096282363,0.06002755576951636,0.00611114501953125,1602,0.0,40.78955078125,0.5796702400301442,0.594516312759934,0.5695502777894338,13,18
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,12,12,0.7333333333333333,0.6666666666666666,0.8253968253968255,45,14.128010421001818,0.0019185320124961436,0.04263404472213652,0.00611114501953125,1602,0.0,40.78955078125,0.5625957377029188,0.5766724634802702,0.5759471038977305,21,26
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,13,13,0.7714285714285715,0.7500000000000001,0.8790849673202614,35,6.182210942963138,0.003115816041827202,0.0890233154807772,0.00611114501953125,1602,0.0859375,40.78955078125,0.5877820632674478,0.6152727513602285,0.6097943941752116,6,11
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,14,14,0.6,0.6666666666666667,0.66600790513834,45,8.415152497997042,0.00393533002352342,0.08745177830052044,0.00611114501953125,1602,0.0,40.78955078125,0.590867690967791,0.6016000283486915,0.5924969057242075,10,15
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,15,15,0.7777777777777778,0.8148148148148148,0.958498023715415,45,9.723389460996259,0.0024703459930606186,0.0548965776235693,0.00611114501953125,1602,0.00390625,40.78955078125,0.5807801159945402,0.5930201582836382,0.5776863495508829,13,18
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,16,16,0.6222222222222222,0.5641025641025642,0.7549407114624506,45,9.634986948978622,0.002893092983867973,0.06429095519706607,0.00611114501953125,1602,0.0,40.78955078125,0.5814291101061937,0.5939153936324697,0.5814907193183899,13,18
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,17,17,0.5,0.2222222222222222,0.65,42,9.421474228962325,0.004109514004085213,0.09784557152583839,0.00611114501953125,1602,0.0859375,40.78955078125,0.5798716242566253,0.5884501945340272,0.5925777196884155,12,17
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,18,18,0.4,0.5263157894736842,0.3913043478260869,45,12.031457546981983,0.002828280965331942,0.0628506881184876,0.00611114501953125,1602,0.0,40.78955078125,0.563166644988638,0.5776422197620074,0.5853007773558299,17,22
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,19,19,0.6888888888888889,0.7407407407407406,0.8320158102766799,45,8.749463023035787,0.003512232971843332,0.07804962159651849,0.00611114501953125,1602,0.00390625,40.78955078125,0.5847773220051419,0.5946525459488233,0.5740400036176045,11,16
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,20,20,0.5333333333333333,0.08695652173913045,0.5671936758893281,45,9.367982522991952,0.0032266530324704945,0.07170340072156654,0.00611114501953125,1602,0.0,40.78955078125,0.5831129205497828,0.5926880606196143,0.5815250297387441,12,17
