trial_number,penalty,C,solver,class_weight,l1_ratio,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,28,28,0.4888888888888889,0.4888888888888889,0.5513833992094862,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,29,29,0.8222222222222222,0.8461538461538461,1.0,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,30,30,0.5555555555555556,0.23076923076923078,0.6746031746031745,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,31,31,0.8666666666666667,0.875,0.9644268774703557,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,32,32,0.7045454545454546,0.7796610169491526,0.9503105590062112,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,33,33,0.7333333333333333,0.6666666666666666,0.8517786561264822,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,34,34,0.8666666666666667,0.8888888888888888,0.9841269841269841,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,35,35,0.6888888888888889,0.5882352941176471,0.8399209486166008,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,36,36,0.36363636363636365,0.46153846153846156,0.4049586776859504,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,37,37,0.5111111111111111,0.0,0.5711462450592886,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,38,38,0.5333333333333333,0.43243243243243246,0.5968379446640316,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,39,39,0.5,0.5,0.5196687370600415,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,40,40,0.6,0.6666666666666666,0.5357142857142857,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,41,41,0.7333333333333333,0.7142857142857143,0.7757936507936508,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,42,42,0.9333333333333333,0.9333333333333333,0.974308300395257,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,43,43,0.8,0.7567567567567568,0.9288537549407114,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,44,44,0.7241379310344828,0.6923076923076923,0.8380952380952381,29
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,45,45,0.5555555555555556,0.2857142857142857,0.808300395256917,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,46,46,0.6444444444444445,0.6521739130434783,0.725296442687747,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,47,47,0.5111111111111111,0.65625,0.6111111111111112,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,48,48,0.7647058823529411,0.75,0.9714285714285714,17
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,49,49,0.8444444444444444,0.8444444444444444,0.958498023715415,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,50,50,0.5111111111111111,0.21428571428571427,0.608695652173913,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,51,51,0.5777777777777777,0.17391304347826086,0.5396825396825398,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,52,52,0.7804878048780488,0.7096774193548387,0.8205741626794258,41
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,53,53,0.5581395348837209,0.5581395348837209,0.5692640692640694,43
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,54,54,0.5897435897435898,0.6521739130434783,0.782608695652174,39
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,55,55,0.8888888888888888,0.8837209302325582,0.9268774703557312,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,56,56,0.8409090909090909,0.851063829787234,0.9111570247933884,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,57,57,0.6,0.6538461538461539,0.7063492063492064,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,58,58,0.6222222222222222,0.5405405405405406,0.6646825396825397,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,59,59,0.5333333333333333,0.08695652173913043,0.4464285714285714,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,60,60,0.7727272727272727,0.782608695652174,0.9194214876033058,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,61,61,0.7209302325581395,0.7,0.8398268398268398,43
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,62,62,0.9333333333333333,0.9302325581395349,0.9861660079051384,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,63,63,0.4883720930232558,0.0,0.5909090909090909,43
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,64,64,0.5555555555555556,0.6875,0.7786561264822134,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,65,65,0.6888888888888889,0.7407407407407407,0.7956349206349207,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,66,66,0.5333333333333333,0.6440677966101694,0.4980237154150198,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,67,67,0.5111111111111111,0.15384615384615385,0.6106719367588932,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,68,68,0.5555555555555556,0.23076923076923078,0.7312252964426876,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,69,69,0.6,0.47058823529411764,0.6527777777777778,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,70,70,0.7333333333333333,0.7,0.8577075098814229,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,71,71,0.7555555555555555,0.6857142857142857,0.9387351778656127,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,72,72,0.9333333333333333,0.9361702127659575,0.9841897233201581,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,73,73,0.5111111111111111,0.6333333333333333,0.7252964426877471,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,74,74,0.4888888888888889,0.5818181818181818,0.5634920634920635,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,75,75,0.8048780487804879,0.7894736842105263,0.9476190476190476,41
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,76,76,0.6,0.35714285714285715,0.6581027667984191,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,77,77,0.4444444444444444,0.5454545454545454,0.5833333333333334,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,78,78,0.4666666666666667,0.6129032258064516,0.5434782608695652,45
