parameter_name,parameter_value,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc
n_neighbors,1,1,distance,minkowski,2,6,102,102,0.4666666666666667,0.25,0.47332015810276673
n_neighbors,1,1,distance,minkowski,2,6,103,103,0.6046511627906976,0.6046511627906976,0.604978354978355
n_neighbors,1,1,distance,minkowski,2,6,104,104,0.5116279069767442,0.46153846153846156,0.5097402597402597
n_neighbors,1,1,distance,minkowski,2,6,105,105,0.4222222222222222,0.4583333333333333,0.42391304347826086
n_neighbors,1,1,distance,minkowski,2,6,106,106,0.5333333333333333,0.4878048780487805,0.5297619047619048
n_neighbors,1,1,distance,minkowski,2,6,107,107,0.4666666666666667,0.5,0.4732142857142857
n_neighbors,1,1,distance,minkowski,2,6,108,108,0.5333333333333333,0.5116279069767442,0.5345849802371541
n_neighbors,3,3,distance,minkowski,2,6,1,1,0.4,0.425531914893617,0.43083003952569165
n_neighbors,3,3,distance,minkowski,2,6,2,2,0.7111111111111111,0.6486486486486487,0.7252964426877471
n_neighbors,3,3,distance,minkowski,2,6,3,3,0.4,0.425531914893617,0.38438735177865613
n_neighbors,3,3,distance,minkowski,2,6,4,4,0.4222222222222222,0.07142857142857142,0.3616600790513834
n_neighbors,3,3,distance,minkowski,2,6,5,5,0.4888888888888889,0.4888888888888889,0.49603174603174605
n_neighbors,3,3,distance,minkowski,2,6,6,6,0.4888888888888889,0.14814814814814814,0.5734126984126984
n_neighbors,3,3,distance,minkowski,2,6,7,7,0.5777777777777777,0.6779661016949152,0.7806324110671937
n_neighbors,3,3,distance,minkowski,2,6,8,8,0.4222222222222222,0.35,0.466403162055336
n_neighbors,3,3,distance,minkowski,2,6,9,9,0.37777777777777777,0.2631578947368421,0.39880952380952384
n_neighbors,3,3,distance,minkowski,2,6,10,10,0.5555555555555556,0.5833333333333334,0.5505952380952381
n_neighbors,3,3,distance,minkowski,2,6,11,11,0.4888888888888889,0.5106382978723404,0.4940711462450593
n_neighbors,3,3,distance,minkowski,2,6,12,12,0.5111111111111111,0.5217391304347826,0.560515873015873
n_neighbors,3,3,distance,minkowski,2,6,13,13,0.6,0.5882352941176471,0.642156862745098
n_neighbors,3,3,distance,minkowski,2,6,14,14,0.5555555555555556,0.5238095238095238,0.575098814229249
n_neighbors,3,3,distance,minkowski,2,6,15,15,0.6,0.6896551724137931,0.6768774703557312
n_neighbors,3,3,distance,minkowski,2,6,16,16,0.5777777777777777,0.5777777777777777,0.575098814229249
n_neighbors,3,3,distance,minkowski,2,6,17,17,0.5476190476190477,0.2962962962962963,0.5556818181818182
n_neighbors,3,3,distance,minkowski,2,6,18,18,0.4222222222222222,0.5,0.41699604743083
n_neighbors,3,3,distance,minkowski,2,6,19,19,0.6222222222222222,0.6666666666666666,0.6492094861660079
n_neighbors,3,3,distance,minkowski,2,6,20,20,0.5555555555555556,0.375,0.5424901185770752
n_neighbors,3,3,distance,minkowski,2,6,21,21,0.6444444444444445,0.6190476190476191,0.6626984126984127
n_neighbors,3,3,distance,minkowski,2,6,22,22,0.4666666666666667,0.5384615384615384,0.5009881422924901
n_neighbors,3,3,distance,minkowski,2,6,23,23,0.6363636363636364,0.68,0.6735537190082643
n_neighbors,3,3,distance,minkowski,2,6,24,24,0.4444444444444444,0.375,0.7337662337662338
n_neighbors,3,3,distance,minkowski,2,6,25,25,0.6222222222222222,0.6222222222222222,0.6768774703557313
n_neighbors,3,3,distance,minkowski,2,6,26,26,0.5333333333333333,0.6037735849056604,0.5515873015873016
n_neighbors,3,3,distance,minkowski,2,6,27,27,0.5111111111111111,0.6071428571428571,0.541501976284585
n_neighbors,3,3,distance,minkowski,2,6,28,28,0.5555555555555556,0.5238095238095238,0.5958498023715415
n_neighbors,3,3,distance,minkowski,2,6,29,29,0.6888888888888889,0.75,0.7707509881422926
n_neighbors,3,3,distance,minkowski,2,6,30,30,0.5111111111111111,0.21428571428571427,0.5317460317460317
n_neighbors,3,3,distance,minkowski,2,6,31,31,0.5777777777777777,0.5957446808510638,0.6225296442687748
n_neighbors,3,3,distance,minkowski,2,6,32,32,0.6590909090909091,0.6808510638297872,0.6604554865424431
n_neighbors,3,3,distance,minkowski,2,6,33,33,0.6666666666666666,0.5945945945945946,0.7312252964426877
n_neighbors,3,3,distance,minkowski,2,6,34,34,0.6444444444444445,0.6666666666666666,0.6577380952380952
n_neighbors,3,3,distance,minkowski,2,6,35,35,0.4888888888888889,0.4888888888888889,0.4347826086956521
n_neighbors,3,3,distance,minkowski,2,6,36,36,0.5454545454545454,0.5652173913043478,0.4927685950413223
n_neighbors,3,3,distance,minkowski,2,6,37,37,0.5111111111111111,0.0,0.41699604743083
n_neighbors,3,3,distance,minkowski,2,6,38,38,0.4888888888888889,0.3783783783783784,0.4970355731225296
n_neighbors,3,3,distance,minkowski,2,6,39,39,0.38636363636363635,0.4489795918367347,0.4233954451345756
n_neighbors,3,3,distance,minkowski,2,6,40,40,0.5111111111111111,0.5416666666666666,0.4722222222222223
n_neighbors,3,3,distance,minkowski,2,6,41,41,0.5555555555555556,0.5,0.5982142857142857
n_neighbors,3,3,distance,minkowski,2,6,42,42,0.8,0.7906976744186046,0.8359683794466404
n_neighbors,3,3,distance,minkowski,2,6,43,43,0.6222222222222222,0.6382978723404256,0.6057312252964427
n_neighbors,3,3,distance,minkowski,2,6,44,44,0.5517241379310345,0.5517241379310345,0.6023809523809524
n_neighbors,3,3,distance,minkowski,2,6,45,45,0.6,0.6086956521739131,0.5800395256916996
n_neighbors,3,3,distance,minkowski,2,6,46,46,0.4,0.4,0.40217391304347827
