trial_number,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
0,9,distance,manhattan,unused,6,102,102,0.6444444444444445,0.6190476190476191,0.7015810276679841,45
0,9,distance,manhattan,unused,6,103,103,0.6744186046511628,0.65,0.7261904761904762,43
0,9,distance,manhattan,unused,6,104,104,0.4418604651162791,0.5,0.4415584415584416,43
0,9,distance,manhattan,unused,6,105,105,0.4666666666666667,0.4,0.48221343873517786,45
0,9,distance,manhattan,unused,6,106,106,0.4888888888888889,0.46511627906976744,0.49801587301587297,45
0,9,distance,manhattan,unused,6,107,107,0.4,0.4489795918367347,0.46825396825396826,45
0,9,distance,manhattan,unused,6,108,108,0.5777777777777777,0.5365853658536586,0.691699604743083,45
1,11,uniform,minkowski,1,6,1,1,0.4222222222222222,0.4583333333333333,0.4061264822134388,45
1,11,uniform,minkowski,1,6,2,2,0.6666666666666666,0.5161290322580645,0.8152173913043479,45
1,11,uniform,minkowski,1,6,3,3,0.4666666666666667,0.52,0.5148221343873518,45
1,11,uniform,minkowski,1,6,4,4,0.4888888888888889,0.25806451612903225,0.58399209486166,45
1,11,uniform,minkowski,1,6,5,5,0.3111111111111111,0.20512820512820512,0.3214285714285715,45
1,11,uniform,minkowski,1,6,6,6,0.5777777777777777,0.24,0.5724206349206349,45
1,11,uniform,minkowski,1,6,7,7,0.5333333333333333,0.6440677966101694,0.7391304347826088,45
1,11,uniform,minkowski,1,6,8,8,0.6666666666666666,0.6153846153846154,0.6857707509881423,45
1,11,uniform,minkowski,1,6,9,9,0.5111111111111111,0.21428571428571427,0.38789682539682535,45
1,11,uniform,minkowski,1,6,10,10,0.5333333333333333,0.5882352941176471,0.6061507936507936,45
1,11,uniform,minkowski,1,6,11,11,0.4888888888888889,0.43902439024390244,0.516798418972332,45
1,11,uniform,minkowski,1,6,12,12,0.5333333333333333,0.43243243243243246,0.6607142857142856,45
1,11,uniform,minkowski,1,6,13,13,0.6285714285714286,0.6285714285714286,0.715686274509804,35
1,11,uniform,minkowski,1,6,14,14,0.6,0.5,0.6363636363636364,45
1,11,uniform,minkowski,1,6,15,15,0.5777777777777777,0.6779661016949152,0.757905138339921,45
1,11,uniform,minkowski,1,6,16,16,0.6,0.625,0.5513833992094862,45
1,11,uniform,minkowski,1,6,17,17,0.5,0.27586206896551724,0.3772727272727273,42
1,11,uniform,minkowski,1,6,18,18,0.5111111111111111,0.6071428571428571,0.43774703557312256,45
1,11,uniform,minkowski,1,6,19,19,0.5777777777777777,0.6122448979591837,0.657114624505929,45
1,11,uniform,minkowski,1,6,20,20,0.6222222222222222,0.48484848484848486,0.6274703557312253,45
1,11,uniform,minkowski,1,6,21,21,0.5555555555555556,0.5833333333333334,0.6775793650793651,45
1,11,uniform,minkowski,1,6,22,22,0.4888888888888889,0.6101694915254238,0.46343873517786555,45
1,11,uniform,minkowski,1,6,23,23,0.6136363636363636,0.6792452830188679,0.6807851239669421,44
1,11,uniform,minkowski,1,6,24,24,0.3888888888888889,0.26666666666666666,0.4675324675324675,18
1,11,uniform,minkowski,1,6,25,25,0.7333333333333333,0.7272727272727273,0.7401185770750988,45
1,11,uniform,minkowski,1,6,26,26,0.4888888888888889,0.5660377358490566,0.4950396825396825,45
1,11,uniform,minkowski,1,6,27,27,0.4888888888888889,0.6101694915254238,0.5009881422924902,45
1,11,uniform,minkowski,1,6,28,28,0.5777777777777777,0.5581395348837209,0.5790513833992095,45
1,11,uniform,minkowski,1,6,29,29,0.7111111111111111,0.7636363636363637,0.8715415019762847,45
