parameter_name,parameter_value,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,63,63,0.5116279069767442,0.676923076923077,0.4004329004329004
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,64,64,0.6666666666666666,0.6808510638297872,0.6699604743083004
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,65,65,0.7111111111111111,0.6486486486486487,0.7142857142857142
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,66,66,0.4666666666666667,0.5555555555555556,0.4743083003952569
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,67,67,0.5111111111111111,0.5217391304347826,0.525691699604743
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,68,68,0.6444444444444445,0.6363636363636364,0.741106719367589
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,69,69,0.5777777777777777,0.5128205128205128,0.5833333333333333
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,70,70,0.6444444444444445,0.5555555555555556,0.7984189723320158
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,71,71,0.7333333333333333,0.6666666666666666,0.8893280632411067
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,72,72,0.8888888888888888,0.8979591836734694,0.9901185770750988
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,73,73,0.6222222222222222,0.6382978723404256,0.6719367588932806
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,74,74,0.5555555555555556,0.6428571428571429,0.6567460317460316
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,75,75,0.8536585365853658,0.8421052631578947,0.9047619047619047
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,76,76,0.4888888888888889,0.6567164179104478,0.5375494071146245
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,77,77,0.5111111111111111,0.6451612903225806,0.5376984126984127
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,78,78,0.4888888888888889,0.5818181818181818,0.5335968379446641
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,79,79,0.6,0.6363636363636364,0.64
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,80,80,0.6,0.5263157894736842,0.6185770750988142
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,81,81,0.4888888888888889,0.0,0.782608695652174
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,82,82,0.6666666666666666,0.7058823529411765,0.766798418972332
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,83,83,0.8421052631578947,0.85,0.9473684210526315
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,84,84,0.5909090909090909,0.625,0.7163561076604555
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,85,85,0.8636363636363636,0.8695652173913043,0.9296066252587992
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,86,86,0.7727272727272727,0.8076923076923077,0.8840579710144927
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,87,87,0.5111111111111111,0.5925925925925926,0.46245059288537543
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,88,88,0.5454545454545454,0.358974358974359,0.585978835978836
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,89,89,0.6222222222222222,0.6222222222222222,0.6686507936507936
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,90,90,0.5555555555555556,0.4444444444444444,0.5513833992094862
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,91,91,0.5454545454545454,0.6875,0.7871900826446281
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,92,92,0.7142857142857143,0.7777777777777778,0.764102564102564
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,93,93,0.8,0.7906976744186046,0.8913043478260869
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,94,94,0.75,0.8070175438596491,0.9772256728778468
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,95,95,0.4642857142857143,0.5161290322580645,0.640625
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,96,96,0.47619047619047616,0.42105263157894735,0.5736961451247166
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,97,97,0.5681818181818182,0.42424242424242425,0.5743801652892562
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,98,98,0.4666666666666667,0.6363636363636364,0.5711462450592886
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,99,99,0.4883720930232558,0.15384615384615385,0.6038961038961039
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,100,100,0.5555555555555556,0.5555555555555556,0.558641975308642
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,101,101,0.4222222222222222,0.1875,0.5
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,102,102,0.7777777777777778,0.75,0.8972332015810277
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,103,103,0.6511627906976745,0.7058823529411765,0.7683982683982683
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,104,104,0.4186046511627907,0.5283018867924528,0.3874458874458874
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,105,105,0.6222222222222222,0.6382978723404256,0.6264822134387352
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,106,106,0.6666666666666666,0.6808510638297872,0.7242063492063492
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,107,107,0.6666666666666666,0.6808510638297872,0.6984126984126984
cov_estimator,oas,oas,riemann,1.0,lbfgs,balanced,108,108,0.6666666666666666,0.7272727272727273,0.8695652173913043
