parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,65,65,0.5333333333333333,0.0,0.39583333333333337,4.601075802998821,0.0016632859988021664,0.03696191108449259,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,66,66,0.4888888888888889,0.0,0.6037549407114624,4.5700589299995045,0.0016880789989954792,0.03751286664434399,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,67,67,0.4888888888888889,0.0,0.39328063241106714,4.7569158600017545,0.0016604219999862835,0.036898266666361854,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,68,68,0.4888888888888889,0.0,0.48616600790513836,4.5817729589980445,0.0017971030029002577,0.0399356222866724,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,69,69,0.5333333333333333,0.0,0.5476190476190476,4.584451118000288,0.0016282949982269201,0.03618433329393156,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,70,70,0.4888888888888889,0.0,0.5859683794466404,4.600534248998883,0.0016128600000229198,0.035841333333842665,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,71,71,0.4888888888888889,0.0,0.5424901185770752,4.676348158998735,0.001699603999441024,0.037768977765356086,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,72,72,0.4888888888888889,0.0,0.5009881422924901,4.6391851949993,0.0016574190012761392,0.03683153336169198,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,73,73,0.5111111111111111,0.0,0.7272727272727273,4.536926264001522,0.001661889000388328,0.03693086667529618,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,74,74,0.5333333333333333,0.0,0.34523809523809523,4.608389442000771,0.0016529489985259715,0.03673219996724381,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,75,75,0.5121951219512195,0.0,0.6428571428571428,4.588214620001963,0.0017993379988183733,0.043886292654106665,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,76,76,0.5111111111111111,0.0,0.5158102766798419,4.7320179080015805,0.001636535998841282,0.03636746664091738,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,77,77,0.4666666666666667,0.0,0.5158730158730158,4.769900104001863,0.0017066580003302079,0.037925733340671286,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,78,78,0.5111111111111111,0.0,0.4031620553359684,4.6024874489994545,0.0016769049980212003,0.03726455551158223,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,79,79,0.5,0.0,0.38625,4.767526247000205,0.0016572089989494998,0.041430224973737495,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,80,80,0.5111111111111111,0.0,0.5306324110671937,4.557549610999558,0.0016746699984651059,0.03721488885478013,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,81,81,0.4888888888888889,0.0,0.5217391304347826,4.482972112000425,0.0016322759984177537,0.036272799964838974,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,82,82,0.5111111111111111,0.0,0.4584980237154151,4.523478269999032,0.0016458949976367876,0.03657544439192861,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,83,83,0.5,0.0,0.481994459833795,4.48705947200142,0.0014980399973865133,0.039422105194381926,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,84,84,0.5227272727272727,0.0,0.5041407867494824,4.494817654001963,0.0016518310003448278,0.03754161364420063,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,85,85,0.5227272727272727,0.0,0.4730848861283644,4.482623809999495,0.0016006369987735525,0.036378113608489825,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,86,86,0.4772727272727273,0.0,0.46894409937888204,4.469487100999686,0.001568929001223296,0.03565747730052945,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,87,87,0.4888888888888889,0.0,0.6205533596837945,4.573345691002032,0.001640797003346961,0.03646215562993247,0.026459693908691406,6338,0.0,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,88,88,0.4909090909090909,0.0,0.44642857142857145,4.534691740998824,0.001766442001098767,0.03211712729270485,0.026459693908691406,6338,0.00390625,87.63916015625
hidden_size,32,32,1,0.3,False,0.001,32,20,0.0,89,89,0.5333333333333333,0.0,0.4801587301587301,4.5478263559998595,0.0015856919999350794,0.035237599998557315,0.026459693908691406,6338,0.00390625,87.63916015625
