trial_number,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc,support
0,oas,riemann,0.36579328632390673,saga,balanced,53,53,0.5348837209302325,0.5238095238095238,0.49783549783549785,43
0,oas,riemann,0.36579328632390673,saga,balanced,54,54,0.6666666666666666,0.6829268292682927,0.8043478260869565,39
0,oas,riemann,0.36579328632390673,saga,balanced,55,55,0.8888888888888888,0.8837209302325582,0.9426877470355731,45
0,oas,riemann,0.36579328632390673,saga,balanced,56,56,0.75,0.7659574468085106,0.8140495867768596,44
0,oas,riemann,0.36579328632390673,saga,balanced,57,57,0.6444444444444445,0.6190476190476191,0.6587301587301587,45
0,oas,riemann,0.36579328632390673,saga,balanced,58,58,0.6222222222222222,0.6222222222222222,0.6646825396825397,45
0,oas,riemann,0.36579328632390673,saga,balanced,59,59,0.5777777777777777,0.17391304347826086,0.4742063492063492,45
0,oas,riemann,0.36579328632390673,saga,balanced,60,60,0.8181818181818182,0.8095238095238095,0.8987603305785123,44
0,oas,riemann,0.36579328632390673,saga,balanced,61,61,0.7674418604651163,0.75,0.8787878787878789,43
0,oas,riemann,0.36579328632390673,saga,balanced,62,62,0.5111111111111111,0.0,0.9407114624505929,45
0,oas,riemann,0.36579328632390673,saga,balanced,63,63,0.5116279069767442,0.676923076923077,0.40476190476190477,43
0,oas,riemann,0.36579328632390673,saga,balanced,64,64,0.6666666666666666,0.6808510638297872,0.6679841897233202,45
0,oas,riemann,0.36579328632390673,saga,balanced,65,65,0.7111111111111111,0.6486486486486487,0.7103174603174602,45
0,oas,riemann,0.36579328632390673,saga,balanced,66,66,0.4666666666666667,0.5555555555555556,0.4743083003952569,45
0,oas,riemann,0.36579328632390673,saga,balanced,67,67,0.5333333333333333,0.5531914893617021,0.5237154150197628,45
0,oas,riemann,0.36579328632390673,saga,balanced,68,68,0.6666666666666666,0.6666666666666666,0.7371541501976285,45
0,oas,riemann,0.36579328632390673,saga,balanced,69,69,0.5555555555555556,0.5,0.5873015873015872,45
0,oas,riemann,0.36579328632390673,saga,balanced,70,70,0.6222222222222222,0.5142857142857142,0.7944664031620553,45
0,oas,riemann,0.36579328632390673,saga,balanced,71,71,0.7555555555555555,0.7027027027027027,0.8913043478260869,45
0,oas,riemann,0.36579328632390673,saga,balanced,72,72,0.8888888888888888,0.8979591836734694,0.9901185770750988,45
0,oas,riemann,0.36579328632390673,saga,balanced,73,73,0.5777777777777777,0.6122448979591837,0.6719367588932806,45
0,oas,riemann,0.36579328632390673,saga,balanced,74,74,0.5555555555555556,0.6428571428571429,0.6607142857142857,45
0,oas,riemann,0.36579328632390673,saga,balanced,75,75,0.8536585365853658,0.8421052631578947,0.9119047619047619,41
0,oas,riemann,0.36579328632390673,saga,balanced,76,76,0.4888888888888889,0.6567164179104478,0.5474308300395256,45
0,oas,riemann,0.36579328632390673,saga,balanced,77,77,0.5111111111111111,0.6451612903225806,0.5436507936507936,45
0,oas,riemann,0.36579328632390673,saga,balanced,78,78,0.4666666666666667,0.5714285714285714,0.5355731225296443,45
0,oas,riemann,0.36579328632390673,saga,balanced,79,79,0.6,0.6363636363636364,0.645,40
0,oas,riemann,0.36579328632390673,saga,balanced,80,80,0.6,0.5263157894736842,0.624505928853755,45
0,oas,riemann,0.36579328632390673,saga,balanced,81,81,0.4888888888888889,0.0,0.7845849802371542,45
0,oas,riemann,0.36579328632390673,saga,balanced,82,82,0.6666666666666666,0.7058823529411765,0.7747035573122529,45
0,oas,riemann,0.36579328632390673,saga,balanced,83,83,0.8421052631578947,0.85,0.9556786703601108,38
0,oas,riemann,0.36579328632390673,saga,balanced,84,84,0.5681818181818182,0.6122448979591837,0.7163561076604554,44
0,oas,riemann,0.36579328632390673,saga,balanced,85,85,0.8636363636363636,0.8695652173913043,0.9378881987577641,44
0,oas,riemann,0.36579328632390673,saga,balanced,86,86,0.7727272727272727,0.8076923076923077,0.8902691511387164,44
0,oas,riemann,0.36579328632390673,saga,balanced,87,87,0.5111111111111111,0.5925925925925926,0.4624505928853755,45
0,oas,riemann,0.36579328632390673,saga,balanced,88,88,0.5454545454545454,0.358974358974359,0.58994708994709,55
0,oas,riemann,0.36579328632390673,saga,balanced,89,89,0.6222222222222222,0.6222222222222222,0.6646825396825397,45
0,oas,riemann,0.36579328632390673,saga,balanced,90,90,0.5555555555555556,0.4444444444444444,0.5592885375494071,45
0,oas,riemann,0.36579328632390673,saga,balanced,91,91,0.5454545454545454,0.6875,0.7830578512396694,44
0,oas,riemann,0.36579328632390673,saga,balanced,92,92,0.7142857142857143,0.7777777777777778,0.767948717948718,56
0,oas,riemann,0.36579328632390673,saga,balanced,93,93,0.8,0.7906976744186046,0.8932806324110671,45
0,oas,riemann,0.36579328632390673,saga,balanced,94,94,0.75,0.8070175438596491,0.9772256728778468,44
0,oas,riemann,0.36579328632390673,saga,balanced,95,95,0.5,0.5333333333333333,0.640625,28
0,oas,riemann,0.36579328632390673,saga,balanced,96,96,0.47619047619047616,0.42105263157894735,0.5759637188208617,42
0,oas,riemann,0.36579328632390673,saga,balanced,97,97,0.5454545454545454,0.375,0.5723140495867769,44
0,oas,riemann,0.36579328632390673,saga,balanced,98,98,0.4666666666666667,0.6363636363636364,0.5711462450592886,45
0,oas,riemann,0.36579328632390673,saga,balanced,99,99,0.4883720930232558,0.15384615384615385,0.6060606060606061,43
0,oas,riemann,0.36579328632390673,saga,balanced,100,100,0.5555555555555556,0.5555555555555556,0.5648148148148148,36
0,oas,riemann,0.36579328632390673,saga,balanced,101,101,0.4666666666666667,0.2,0.5059288537549407,45
0,oas,riemann,0.36579328632390673,saga,balanced,102,102,0.7777777777777778,0.75,0.8972332015810277,45
0,oas,riemann,0.36579328632390673,saga,balanced,103,103,0.6511627906976745,0.7058823529411765,0.7727272727272727,43
0,oas,riemann,0.36579328632390673,saga,balanced,104,104,0.3953488372093023,0.5185185185185185,0.3874458874458874,43
0,oas,riemann,0.36579328632390673,saga,balanced,105,105,0.6222222222222222,0.6382978723404256,0.6343873517786561,45
0,oas,riemann,0.36579328632390673,saga,balanced,106,106,0.6666666666666666,0.6666666666666666,0.7202380952380952,45
0,oas,riemann,0.36579328632390673,saga,balanced,107,107,0.6888888888888889,0.6956521739130435,0.6944444444444444,45
0,oas,riemann,0.36579328632390673,saga,balanced,108,108,0.7555555555555555,0.7843137254901961,0.8715415019762845,45
