trial_number,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc,support
10,lwf,riemann,0.177474585048418,saga,,55,55,0.8888888888888888,0.8837209302325582,0.9466403162055336,45
10,lwf,riemann,0.177474585048418,saga,,56,56,0.7954545454545454,0.8163265306122449,0.8181818181818182,44
10,lwf,riemann,0.177474585048418,saga,,57,57,0.6444444444444445,0.6190476190476191,0.6567460317460319,45
10,lwf,riemann,0.177474585048418,saga,,58,58,0.6222222222222222,0.6222222222222222,0.6646825396825397,45
10,lwf,riemann,0.177474585048418,saga,,59,59,0.5555555555555556,0.09090909090909091,0.4801587301587302,45
10,lwf,riemann,0.177474585048418,saga,,60,60,0.8181818181818182,0.8095238095238095,0.8987603305785123,44
10,lwf,riemann,0.177474585048418,saga,,61,61,0.7441860465116279,0.717948717948718,0.8852813852813853,43
10,lwf,riemann,0.177474585048418,saga,,62,62,0.5111111111111111,0.0,0.9426877470355732,45
10,lwf,riemann,0.177474585048418,saga,,63,63,0.5116279069767442,0.676923076923077,0.4155844155844156,43
10,lwf,riemann,0.177474585048418,saga,,64,64,0.6666666666666666,0.6808510638297872,0.6798418972332017,45
10,lwf,riemann,0.177474585048418,saga,,65,65,0.6888888888888889,0.631578947368421,0.7103174603174602,45
10,lwf,riemann,0.177474585048418,saga,,66,66,0.4666666666666667,0.52,0.4723320158102766,45
10,lwf,riemann,0.177474585048418,saga,,67,67,0.5555555555555556,0.5652173913043478,0.5335968379446641,45
10,lwf,riemann,0.177474585048418,saga,,68,68,0.6444444444444445,0.6363636363636364,0.7371541501976284,45
10,lwf,riemann,0.177474585048418,saga,,69,69,0.5111111111111111,0.42105263157894735,0.5932539682539683,45
10,lwf,riemann,0.177474585048418,saga,,70,70,0.6444444444444445,0.5294117647058824,0.7905138339920948,45
10,lwf,riemann,0.177474585048418,saga,,71,71,0.7555555555555555,0.7027027027027027,0.891304347826087,45
10,lwf,riemann,0.177474585048418,saga,,72,72,0.9111111111111111,0.9166666666666666,0.9881422924901185,45
10,lwf,riemann,0.177474585048418,saga,,73,73,0.5777777777777777,0.5957446808510638,0.6699604743083004,45
10,lwf,riemann,0.177474585048418,saga,,74,74,0.5555555555555556,0.6428571428571429,0.6567460317460316,45
10,lwf,riemann,0.177474585048418,saga,,75,75,0.8780487804878049,0.8648648648648649,0.9142857142857143,41
10,lwf,riemann,0.177474585048418,saga,,76,76,0.4888888888888889,0.6567164179104478,0.5454545454545454,45
10,lwf,riemann,0.177474585048418,saga,,77,77,0.5111111111111111,0.6333333333333333,0.5337301587301588,45
10,lwf,riemann,0.177474585048418,saga,,78,78,0.4666666666666667,0.5714285714285714,0.5375494071146245,45
10,lwf,riemann,0.177474585048418,saga,,79,79,0.6,0.6363636363636364,0.6475,40
10,lwf,riemann,0.177474585048418,saga,,80,80,0.6,0.5,0.6482213438735178,45
10,lwf,riemann,0.177474585048418,saga,,81,81,0.4888888888888889,0.0,0.7885375494071146,45
10,lwf,riemann,0.177474585048418,saga,,82,82,0.6888888888888889,0.7307692307692307,0.774703557312253,45
10,lwf,riemann,0.177474585048418,saga,,83,83,0.8947368421052632,0.8888888888888888,0.96398891966759,38
10,lwf,riemann,0.177474585048418,saga,,84,84,0.5681818181818182,0.6122448979591837,0.7204968944099378,44
10,lwf,riemann,0.177474585048418,saga,,85,85,0.8636363636363636,0.8695652173913043,0.9399585921325052,44
10,lwf,riemann,0.177474585048418,saga,,86,86,0.7954545454545454,0.8235294117647058,0.8944099378881988,44
10,lwf,riemann,0.177474585048418,saga,,87,87,0.5111111111111111,0.5925925925925926,0.4565217391304348,45
10,lwf,riemann,0.177474585048418,saga,,88,88,0.5636363636363636,0.3684210526315789,0.5886243386243386,55
10,lwf,riemann,0.177474585048418,saga,,89,89,0.6222222222222222,0.6222222222222222,0.6646825396825397,45
10,lwf,riemann,0.177474585048418,saga,,90,90,0.5555555555555556,0.4444444444444444,0.5573122529644268,45
10,lwf,riemann,0.177474585048418,saga,,91,91,0.5454545454545454,0.6875,0.7933884297520661,44
10,lwf,riemann,0.177474585048418,saga,,92,92,0.6607142857142857,0.7246376811594203,0.7756410256410257,56
10,lwf,riemann,0.177474585048418,saga,,93,93,0.8,0.7906976744186046,0.8992094861660079,45
10,lwf,riemann,0.177474585048418,saga,,94,94,0.75,0.8070175438596491,0.9772256728778468,44
10,lwf,riemann,0.177474585048418,saga,,95,95,0.6071428571428571,0.5925925925925926,0.6406250000000001,28
10,lwf,riemann,0.177474585048418,saga,,96,96,0.5,0.46153846153846156,0.5736961451247165,42
10,lwf,riemann,0.177474585048418,saga,,97,97,0.5681818181818182,0.3870967741935484,0.5764462809917356,44
10,lwf,riemann,0.177474585048418,saga,,98,98,0.4666666666666667,0.6363636363636364,0.5691699604743083,45
10,lwf,riemann,0.177474585048418,saga,,99,99,0.4883720930232558,0.15384615384615385,0.6190476190476191,43
10,lwf,riemann,0.177474585048418,saga,,100,100,0.5555555555555556,0.5555555555555556,0.5648148148148149,36
10,lwf,riemann,0.177474585048418,saga,,101,101,0.4888888888888889,0.20689655172413793,0.5079051383399209,45
10,lwf,riemann,0.177474585048418,saga,,102,102,0.8,0.7804878048780488,0.8992094861660079,45
10,lwf,riemann,0.177474585048418,saga,,103,103,0.6511627906976745,0.7058823529411765,0.7683982683982683,43
10,lwf,riemann,0.177474585048418,saga,,104,104,0.4186046511627907,0.5454545454545454,0.4004329004329005,43
10,lwf,riemann,0.177474585048418,saga,,105,105,0.6222222222222222,0.6382978723404256,0.642292490118577,45
10,lwf,riemann,0.177474585048418,saga,,106,106,0.6666666666666666,0.6666666666666666,0.7063492063492063,45
10,lwf,riemann,0.177474585048418,saga,,107,107,0.6888888888888889,0.6818181818181818,0.6944444444444444,45
10,lwf,riemann,0.177474585048418,saga,,108,108,0.7555555555555555,0.7755102040816326,0.8735177865612649,45
