parameter_name,parameter_value,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
filter_length,35,40,35,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7333333333333333,0.7,0.7865612648221344,45,3.4351852568797767,0.0026622810401022434,0.059161800891160965,0.10544586181640625,27642,0.12890625,129.66748046875,0.5703163557883465,0.7229688499461521,0.5671877026557922,2,12
filter_length,35,40,35,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.8222222222222222,0.8,0.9486166007905138,45,5.857669671997428,0.001582460943609476,0.035165798746877246,0.10544586181640625,27642,0.0,129.66748046875,0.5610628789573004,0.6276601121732683,0.5535873333613078,7,17
filter_length,35,40,35,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4888888888888889,0.43902439024390244,0.4505928853754941,45,4.021651689894497,0.0017110980115830898,0.038024400257401995,0.10544586181640625,27642,0.0,129.66748046875,0.544628030422962,0.638809065024058,0.5489084462324778,7,17
filter_length,35,40,35,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5777777777777777,0.6984126984126984,0.7114624505928854,45,8.531202664133161,0.0026999912224709988,0.05999980494379997,0.10544586181640625,27642,0.0,129.66748046875,0.5111295544739926,0.5993440747261047,0.5488855461279551,16,26
filter_length,35,40,35,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.5777777777777777,0.6545454545454545,0.5615079365079365,45,3.8482981752604246,0.0019020549952983856,0.04226788878440857,0.10544586181640625,27642,0.0,129.66748046875,0.5505019385706295,0.6832867574059602,0.567510598897934,4,14
filter_length,35,40,35,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4666666666666667,0.25,0.5357142857142857,45,7.643743083812296,0.0013861050829291344,0.03080233517620299,0.10544586181640625,27642,0.0,129.66748046875,0.5067590705373071,0.5707994080854185,0.5595832268397013,14,24
filter_length,35,40,35,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.9777777777777777,0.9777777777777777,0.9940711462450593,45,6.421124746091664,0.0014062151312828064,0.03124922513961792,0.10544586181640625,27642,0.0,129.66748046875,0.5264736779711463,0.596907789960052,0.5491942723592123,11,21
filter_length,35,40,35,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.7111111111111111,0.6486486486486487,0.8300395256916996,45,8.414437905419618,0.0031836521811783314,0.07074782624840736,0.10544586181640625,27642,0.0,129.66748046875,0.5281632730003559,0.6307930661873384,0.5689287801583608,11,21
filter_length,35,40,35,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6,0.55,0.6150793650793651,45,6.227102546952665,0.0011702482588589191,0.026005516863531537,0.10544586181640625,27642,0.0,129.66748046875,0.5267426558967793,0.5857687499938589,0.5650064210096996,16,26
filter_length,35,40,35,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6444444444444445,0.68,0.748015873015873,45,7.009253148920834,0.0026591606438159943,0.059092458751466535,0.10544586181640625,27642,0.0,129.66748046875,0.5155439589059714,0.5823853546471307,0.5559500455856323,11,21
