parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
D,1,8,1,8,64,0.25,0.001,32,20,0.0,31,31,0.6444444444444445,0.5294117647058824,0.8003952569169961,9.113083061994985,0.0021447039980557747,0.04766008884568388,0.011692047119140625,1130,0.015625,25.7568359375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,32,32,0.4772727272727273,0.0,0.668737060041408,9.087596225996094,0.002128780004568398,0.048381363740190864,0.011692047119140625,1130,0.00390625,25.7578125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,33,33,0.5111111111111111,0.0,0.7885375494071146,9.080325686998549,0.00223410200123908,0.049646711138646216,0.011692047119140625,1130,0.015625,25.7587890625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,34,34,0.5333333333333333,0.6956521739130435,0.9702380952380953,9.075300913005776,0.002109574001224246,0.046879422249427684,0.011692047119140625,1130,0.01171875,25.759765625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,35,35,0.4888888888888889,0.0,0.7707509881422926,9.098001268001099,0.0021276629995554686,0.04728139999012153,0.011692047119140625,1130,0.01953125,25.7607421875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,36,36,0.5,0.6666666666666666,0.4008264462809917,9.11088220399688,0.0021402350030257367,0.04864170461422129,0.011692047119140625,1130,0.01171875,25.76171875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,37,37,0.4888888888888889,0.6567164179104478,0.4940711462450593,9.098715122003341,0.0023223820026032627,0.051608488946739174,0.011692047119140625,1130,0.0078125,25.7626953125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,38,38,0.5111111111111111,0.0,0.5217391304347826,9.089118009993399,0.0021110409943503328,0.04691202209667406,0.011692047119140625,1130,0.015625,25.763671875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,39,39,0.5227272727272727,0.0,0.5320910973084886,9.083513130994106,0.0021305260015651584,0.048421045490117234,0.011692047119140625,1130,0.015625,25.7646484375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,40,40,0.4444444444444444,0.07407407407407407,0.4484126984126985,9.084241232005297,0.0021424689984996803,0.047610422188881785,0.011692047119140625,1130,0.01171875,25.765625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,41,41,0.5333333333333333,0.0,0.5595238095238095,9.09044682199601,0.0021193510037846863,0.04709668897299303,0.011692047119140625,1130,0.01953125,25.7666015625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,42,42,0.4888888888888889,0.0,0.9525691699604742,9.084876754001016,0.002165309000702109,0.04811797779338021,0.011692047119140625,1130,0.0078125,25.767578125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,43,43,0.4888888888888889,0.6567164179104478,0.8557312252964426,9.080112174997339,0.002138698000635486,0.047526622236344136,0.011692047119140625,1130,0.01171875,25.7685546875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,44,44,0.4827586206896552,0.0,0.8380952380952381,9.105248485997436,0.001294658999540843,0.04464341377727045,0.011692047119140625,1130,0.01171875,25.76953125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,45,45,0.6444444444444445,0.4666666666666667,0.8063241106719368,9.082307725002465,0.0021537849970627576,0.04786188882361683,0.011692047119140625,1130,0.0078125,25.7705078125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,46,46,0.4888888888888889,0.6567164179104478,0.7588932806324111,9.082345091002935,0.0022131509977043606,0.04918113328231912,0.011692047119140625,1130,0.0078125,25.771484375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,47,47,0.4666666666666667,0.6363636363636364,0.6488095238095237,9.080648909999582,0.002229073994385544,0.04953497765301209,0.011692047119140625,1130,0.01171875,25.7724609375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,48,48,0.6470588235294118,0.625,0.9,9.100714069994865,0.0009481729939579964,0.055774881997529197,0.011692047119140625,1130,0.015625,25.7734375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,49,49,0.4888888888888889,0.6567164179104478,0.6225296442687747,9.097445329003676,0.0022305409947875887,0.049567577661946416,0.011692047119140625,1130,0.01953125,25.7744140625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,50,50,0.5111111111111111,0.0,0.5731225296442688,9.086296605993994,0.0021463119992404245,0.04769582220534277,0.011692047119140625,1130,0.01171875,25.775390625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,51,51,0.4666666666666667,0.6363636363636364,0.49603174603174605,9.140324068001064,0.0022356400004355237,0.04968088889856719,0.011692047119140625,1130,0.0078125,25.7763671875
