parameter_name,parameter_value,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc
weights,uniform,5,uniform,minkowski,2,6,82,82,0.5555555555555556,0.6666666666666666,0.6729249011857708
weights,uniform,5,uniform,minkowski,2,6,83,83,0.4473684210526316,0.16,0.43351800554016623
weights,uniform,5,uniform,minkowski,2,6,84,84,0.6136363636363636,0.6046511627906976,0.6490683229813665
weights,uniform,5,uniform,minkowski,2,6,85,85,0.5909090909090909,0.6666666666666666,0.6904761904761906
weights,uniform,5,uniform,minkowski,2,6,86,86,0.5909090909090909,0.5714285714285714,0.6635610766045549
weights,uniform,5,uniform,minkowski,2,6,87,87,0.5555555555555556,0.6296296296296297,0.5652173913043478
weights,uniform,5,uniform,minkowski,2,6,88,88,0.4727272727272727,0.3829787234042553,0.460978835978836
weights,uniform,5,uniform,minkowski,2,6,89,89,0.6,0.6785714285714286,0.6736111111111112
weights,uniform,5,uniform,minkowski,2,6,90,90,0.4222222222222222,0.38095238095238093,0.4100790513833992
weights,uniform,5,uniform,minkowski,2,6,91,91,0.5227272727272727,0.6181818181818182,0.5960743801652892
weights,uniform,5,uniform,minkowski,2,6,92,92,0.48214285714285715,0.4528301886792453,0.517948717948718
weights,uniform,5,uniform,minkowski,2,6,93,93,0.6444444444444445,0.68,0.7075098814229249
weights,uniform,5,uniform,minkowski,2,6,94,94,0.7954545454545454,0.8301886792452831,0.9078674948240165
weights,uniform,5,uniform,minkowski,2,6,95,95,0.5,0.6111111111111112,0.5208333333333334
weights,uniform,5,uniform,minkowski,2,6,96,96,0.6190476190476191,0.6923076923076923,0.5385487528344671
weights,uniform,5,uniform,minkowski,2,6,97,97,0.5454545454545454,0.4444444444444444,0.5495867768595041
weights,uniform,5,uniform,minkowski,2,6,98,98,0.5333333333333333,0.6557377049180327,0.5375494071146245
weights,uniform,5,uniform,minkowski,2,6,99,99,0.5581395348837209,0.4864864864864865,0.5227272727272728
weights,uniform,5,uniform,minkowski,2,6,100,100,0.5,0.5714285714285714,0.4552469135802469
weights,uniform,5,uniform,minkowski,2,6,101,101,0.4666666666666667,0.3333333333333333,0.5148221343873518
weights,uniform,5,uniform,minkowski,2,6,102,102,0.6222222222222222,0.6046511627906976,0.6314229249011858
weights,uniform,5,uniform,minkowski,2,6,103,103,0.6511627906976745,0.6511627906976745,0.7088744588744589
weights,uniform,5,uniform,minkowski,2,6,104,104,0.4186046511627907,0.3902439024390244,0.501082251082251
weights,uniform,5,uniform,minkowski,2,6,105,105,0.4,0.3076923076923077,0.4486166007905138
weights,uniform,5,uniform,minkowski,2,6,106,106,0.4888888888888889,0.41025641025641024,0.46329365079365076
weights,uniform,5,uniform,minkowski,2,6,107,107,0.4666666666666667,0.52,0.435515873015873
weights,uniform,5,uniform,minkowski,2,6,108,108,0.6444444444444445,0.6,0.6699604743083005
weights,distance,5,distance,minkowski,2,6,1,1,0.4222222222222222,0.4090909090909091,0.4545454545454546
weights,distance,5,distance,minkowski,2,6,2,2,0.7555555555555555,0.6857142857142857,0.8162055335968379
weights,distance,5,distance,minkowski,2,6,3,3,0.4888888888888889,0.5490196078431373,0.46047430830039526
weights,distance,5,distance,minkowski,2,6,4,4,0.4666666666666667,0.14285714285714285,0.3883399209486165
weights,distance,5,distance,minkowski,2,6,5,5,0.4,0.425531914893617,0.4126984126984127
weights,distance,5,distance,minkowski,2,6,6,6,0.4888888888888889,0.20689655172413793,0.5376984126984127
weights,distance,5,distance,minkowski,2,6,7,7,0.5777777777777777,0.6779661016949152,0.6847826086956521
weights,distance,5,distance,minkowski,2,6,8,8,0.5555555555555556,0.5238095238095238,0.5533596837944664
weights,distance,5,distance,minkowski,2,6,9,9,0.4888888888888889,0.3783783783783784,0.43154761904761907
weights,distance,5,distance,minkowski,2,6,10,10,0.5555555555555556,0.5833333333333334,0.626984126984127
weights,distance,5,distance,minkowski,2,6,11,11,0.4666666666666667,0.5,0.5148221343873518
weights,distance,5,distance,minkowski,2,6,12,12,0.5555555555555556,0.5454545454545454,0.5873015873015873
weights,distance,5,distance,minkowski,2,6,13,13,0.45714285714285713,0.45714285714285713,0.607843137254902
weights,distance,5,distance,minkowski,2,6,14,14,0.5777777777777777,0.5581395348837209,0.6067193675889329
weights,distance,5,distance,minkowski,2,6,15,15,0.6444444444444445,0.7142857142857143,0.7322134387351777
weights,distance,5,distance,minkowski,2,6,16,16,0.5111111111111111,0.5,0.5632411067193676
weights,distance,5,distance,minkowski,2,6,17,17,0.5238095238095238,0.2857142857142857,0.41818181818181815
weights,distance,5,distance,minkowski,2,6,18,18,0.4444444444444444,0.5283018867924528,0.391304347826087
weights,distance,5,distance,minkowski,2,6,19,19,0.6,0.64,0.6086956521739131
weights,distance,5,distance,minkowski,2,6,20,20,0.6,0.4,0.5928853754940712
weights,distance,5,distance,minkowski,2,6,21,21,0.6,0.6086956521739131,0.6398809523809524
weights,distance,5,distance,minkowski,2,6,22,22,0.4222222222222222,0.5517241379310345,0.4644268774703557
weights,distance,5,distance,minkowski,2,6,23,23,0.6363636363636364,0.68,0.706611570247934
weights,distance,5,distance,minkowski,2,6,24,24,0.4444444444444444,0.2857142857142857,0.7142857142857143
weights,distance,5,distance,minkowski,2,6,25,25,0.6222222222222222,0.6222222222222222,0.6630434782608696
weights,distance,5,distance,minkowski,2,6,26,26,0.4888888888888889,0.5818181818181818,0.5555555555555556
weights,distance,5,distance,minkowski,2,6,27,27,0.4888888888888889,0.6101694915254238,0.4792490118577075
weights,distance,5,distance,minkowski,2,6,28,28,0.6222222222222222,0.6222222222222222,0.5770750988142292
weights,distance,5,distance,minkowski,2,6,29,29,0.6888888888888889,0.7407407407407407,0.8132411067193677
weights,distance,5,distance,minkowski,2,6,30,30,0.5111111111111111,0.15384615384615385,0.5704365079365079
weights,distance,5,distance,minkowski,2,6,31,31,0.7111111111111111,0.7346938775510204,0.6996047430830039
weights,distance,5,distance,minkowski,2,6,32,32,0.6363636363636364,0.6666666666666666,0.6790890269151139
weights,distance,5,distance,minkowski,2,6,33,33,0.6444444444444445,0.5555555555555556,0.7252964426877471
weights,distance,5,distance,minkowski,2,6,34,34,0.7333333333333333,0.76,0.7559523809523809
weights,distance,5,distance,minkowski,2,6,35,35,0.5333333333333333,0.4878048780487805,0.47134387351778656
