parameter_name,parameter_value,kernel,C,gamma,degree,coef0,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,17,17,0.5238095238095238,0.0,0.6659090909090909
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,18,18,0.5111111111111111,0.6333333333333333,0.44664031620553357
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,19,19,0.6888888888888889,0.7586206896551724,0.8399209486166008
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,20,20,0.5111111111111111,0.0,0.5810276679841897
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,21,21,0.5777777777777777,0.6122448979591837,0.7222222222222222
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,22,22,0.5111111111111111,0.6764705882352942,0.709486166007905
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,23,23,0.6590909090909091,0.7368421052631579,0.8574380165289256
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,24,24,0.5,0.3076923076923077,0.6233766233766234
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,25,25,0.7777777777777778,0.7619047619047619,0.7924901185770751
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,26,26,0.8,0.8235294117647058,0.7698412698412698
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,27,27,0.4666666666666667,0.625,0.5948616600790514
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,28,28,0.5333333333333333,0.5116279069767442,0.5573122529644269
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,29,29,0.8444444444444444,0.8627450980392157,0.9980237154150198
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,30,30,0.5111111111111111,0.08333333333333333,0.6507936507936508
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,31,31,0.8888888888888888,0.8936170212765957,0.9723320158102766
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,32,32,0.75,0.8070175438596491,0.9503105590062112
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,33,33,0.7111111111111111,0.6285714285714286,0.883399209486166
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,34,34,0.8444444444444444,0.8679245283018868,0.9722222222222222
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,35,35,0.5333333333333333,0.16,0.8616600790513834
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,36,36,0.38636363636363635,0.425531914893617,0.4318181818181818
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,37,37,0.5111111111111111,0.0,0.4051383399209486
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,38,38,0.5777777777777777,0.45714285714285713,0.5909090909090909
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,39,39,0.5454545454545454,0.5,0.5217391304347826
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,40,40,0.4222222222222222,0.07142857142857142,0.5099206349206349
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,41,41,0.6888888888888889,0.5625,0.7658730158730158
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,42,42,0.9111111111111111,0.9047619047619048,0.9743083003952568
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,43,43,0.8,0.7567567567567568,0.932806324110672
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,44,44,0.6551724137931034,0.5454545454545454,0.838095238095238
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,45,45,0.5333333333333333,0.2222222222222222,0.7391304347826088
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,46,46,0.6888888888888889,0.5625,0.7154150197628458
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,47,47,0.4888888888888889,0.5818181818181818,0.6011904761904762
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,48,48,0.7058823529411765,0.6666666666666666,0.9857142857142858
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,49,49,0.8666666666666667,0.8636363636363636,0.9565217391304348
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,50,50,0.5333333333333333,0.08695652173913043,0.6106719367588933
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,51,51,0.5111111111111111,0.26666666666666666,0.49603174603174605
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,52,52,0.8048780487804879,0.7333333333333333,0.8444976076555024
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,53,53,0.5581395348837209,0.5365853658536586,0.5627705627705628
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,54,54,0.5384615384615384,0.625,0.8016304347826088
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,55,55,0.8222222222222222,0.7777777777777778,0.9446640316205535
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,56,56,0.8181818181818182,0.8260869565217391,0.9111570247933884
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,57,57,0.5555555555555556,0.6296296296296297,0.7182539682539683
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,58,58,0.6222222222222222,0.5405405405405406,0.628968253968254
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,59,59,0.5333333333333333,0.0,0.4662698412698413
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,60,60,0.7727272727272727,0.782608695652174,0.9318181818181818
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,61,61,0.7441860465116279,0.6857142857142857,0.8181818181818181
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,62,62,0.9111111111111111,0.9,0.9683794466403162
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,63,63,0.4883720930232558,0.0,0.6190476190476191
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,64,64,0.6666666666666666,0.7169811320754716,0.7806324110671937
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,65,65,0.6222222222222222,0.6222222222222222,0.7876984126984127
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,66,66,0.4666666666666667,0.5555555555555556,0.5158102766798419
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,67,67,0.5111111111111111,0.15384615384615385,0.5928853754940712
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,68,68,0.5111111111111111,0.08333333333333333,0.6541501976284585
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,69,69,0.6444444444444445,0.5,0.6706349206349206
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,70,70,0.6222222222222222,0.5142857142857142,0.8142292490118577
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,71,71,0.6888888888888889,0.5625,0.9229249011857708
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,72,72,0.9333333333333333,0.9361702127659575,0.9822134387351779
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,73,73,0.6888888888888889,0.7307692307692307,0.7450592885375494
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,74,74,0.6444444444444445,0.5555555555555556,0.5892857142857143
coef0,0.5,poly,1.0,scale,3,0.5,balanced,6,75,75,0.8292682926829268,0.7878787878787878,0.9452380952380952
