parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,83,83,0.5,0.0,0.3933518005540167,14.176154189000954,0.004321254004025832,0.11371721063225873,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,84,84,0.5227272727272727,0.0,0.582815734989648,14.900598842003092,0.004194700995867606,0.09533411354244559,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,85,85,0.5227272727272727,0.0,0.3954451345755693,14.567558777998784,0.004272993995982688,0.09711349990869744,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,86,86,0.4772727272727273,0.0,0.48033126293995854,14.19402434299991,0.003680665002320893,0.08365147732547484,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,87,87,0.4888888888888889,0.0,0.3893280632411067,14.031887480006844,0.003851567998935934,0.08559039997635409,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,88,88,0.4909090909090909,0.0,0.45105820105820105,13.976766690997465,0.004184294994047377,0.0760780908008614,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,89,89,0.5333333333333333,0.0,0.4007936507936508,14.03050740499748,0.00391819699871121,0.08707104441580465,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,90,90,0.4888888888888889,0.0,0.49802371541501983,14.09671614599938,0.0037561639983323403,0.083470311074052,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,91,91,0.5,0.0,0.5661157024793388,14.073726446004002,0.0038186020028661005,0.08678640915604774,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,92,92,0.4642857142857143,0.0,0.5435897435897435,14.005549770998186,0.004218237998429686,0.07532567854338725,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,93,93,0.5111111111111111,0.0,0.5612648221343873,14.040762911994534,0.004055786004755646,0.09012857788345881,0.2091379165649414,54146,0.0,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,94,94,0.4772727272727273,0.0,0.45445134575569357,14.090593810004066,0.0038970349996816367,0.08856897726549173,0.2091379165649414,54146,0.00390625,166.7333984375
learning_rate,0.0001,64,2,0.3,False,0.0001,32,20,0.0,95,95,0.5714285714285714,0.0,0.32552083333333337,14.410059064000961,0.00213164299930213,0.07613010711793322,0.2091379165649414,54146,0.00390625,166.7333984375
